codmovban|fecha_mov|tipban|numdoc|concepto|importe|dimporte|tasadolar|tiporg|concilia
00001|20231231|DP|AP000001|APERTURA|1562.6600||0.0000||F
00002|20231231|DP|AP000002|APERTURA|378.2900||0.0000||F
00003|20231231|DP|AP000003|APERTURA|5889.0000||0.0000||F
00004|20231231|DP|AP000004|APERTURA|176664.6600||0.0000||F
E0002|20231231|DP|AP000005|APERTURA|25238.0300||0.0000||F
E0003|20231231|DP|AP000006|APERTURA|2288.0600||0.0000||F
E0004|20231231|DP|AP000007|APERTURA|9201.8700||0.0000||F
E0005|20231231|DP|AP000008|APERTURA|6513.4000||0.0000||F
E0007|20231231|DP|AP000009|APERTURA|84435.7500||0.0000||F
E0008|20231231|DP|AP000010|APERTURA|31270.1000||0.0000||F
E0009|20231231|DP|AP000011|APERTURA|1505.1400||0.0000||F
E0011|20231231|DP|AP000012|APERTURA|9.6000||0.0000||F
E0012|20231231|DP|AP000013|APERTURA|26614.0500||0.0000||F
E0013|20231231|DP|AP000014|APERTURA|12868.0000||0.0000||F
E0015|20231231|DP|AP000015|APERTURA|7651.5000||0.0000||F
E0016|20231231|DP|AP000016|APERTURA|1850.0000||0.0000||F
E0017|20231231|CH|AP000017|APERTURA|-12327.0500||0.0000||F
E0018|20231231|DP|AP000018|APERTURA|4220.0000||0.0000||F
IGTF1|20231231|CH|AP000019|APERTURA|-7322.1000||0.0000||F
V0000|20231231|DP|AP000020|APERTURA|19469.6800||0.0000||F
V0001|20231231|DP|AP000021|APERTURA|123636.0200||0.0000||F
V0002|20231231|DP|AP000022|APERTURA|1954.8300||0.0000||F
V0004|20231231|DP|AP000023|APERTURA|109.1300||0.0000||F
V0005|20231231|DP|AP000024|APERTURA|200.0000||0.0000||F
V0018|20231231|DP|AP000025|APERTURA|200.0000||0.0000||F
V0019|20231231|DP|AP000026|APERTURA|1437.4800||0.0000||F
V0021|20231231|DP|AP000027|APERTURA|595.0800||0.0000||F
V0025|20231231|CH|AP000028|APERTURA|-27.8200||0.0000||F
V0029|20231231|DP|AP000029|APERTURA|1309.9000||0.0000||F
V0030|20231231|DP|AP000030|APERTURA|6.3800||0.0000||F
V0034|20231231|DP|AP000031|APERTURA|200.0000||0.0000||F
V0099|20231231|DP|AP000032|APERTURA|11070.0000||0.0000||F
V0101|20231231|DP|AP000033|APERTURA|18287.6600||0.0000||F
V0104|20231231|DP|AP000034|APERTURA|600.0000||0.0000||F
E0007|20240108|TR|MANUEL A|Canc.Multiple de CXC:|800.0000||0.0000|CA|F
E0007|20240108|TR|JHOMAN M|Canc.Multiple de CXC:|200.0000||0.0000|CA|F
E0007|20240108|TR|INV DOCA|Canc.Multiple de CXC:|1500.0000||0.0000|CA|F
00003|20240108|ND|VD003181|TRANSF AL PLAZA|-16000.0000||0.0000||F
00001|20240108|NC|VD003181|TRANSF AL PLAZA|16000.0000||0.0000||F
