numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000338|00000697|AUTO REPUESTOS YANOHE 2022, C.A|20240524|OK|NC000720|181.1800|30|01
DV000339|00000330|DAVAL, C.A|20240529|OK|NC000737|84.8700|02|01
DV000340|00000555|AUTO REPUESTOS MODICA, C.A (AUTO REPUESTOS MODICA, C.A)|20240529|OK|NC000721|38.2200|02|01
DV000341|00000662|AUTOREPUESTOS CHEVY CENTER, C.A|20240529|OK|NC000722|75.4000|02|01
DV000342|00000662|AUTOREPUESTOS CHEVY CENTER, C.A|20240529|OK|NC000723|61.1100|02|01
DV000343|00000048|REPUESTOS EL MILENIUM C.A|20240529|OK|NC000724|192.3100|34|01
DV000344|00000139|IMPORTADORA RAYNE, C.A|20240529|OK|NC000725|137.4800|02|01
DV000345|00000275|AL ALTISIMO C.A|20240529|OK|NC000726|60.8700|25|01
DV000346|00000320|AUTO REPUESTOS ANGULO C.A|20240529|OK|NC000727|68.2200|25|01
DV000347|00000320|AUTO REPUESTOS ANGULO C.A|20240529|OK|NC000728|120.1200|25|01
DV000348|00000320|AUTO REPUESTOS ANGULO C.A|20240529|OK|NC000734|90.0000|25|01
DV000349|00000320|AUTO REPUESTOS ANGULO C.A|20240529|OK|NC000735|60.8700|25|01
DV000350|00000320|AUTO REPUESTOS ANGULO C.A|20240529|OK|NC000736|30.0300|25|01
DV000351|00000758|REPUESTOS Y SERVICIOS JMCARS C.A.|20240530|OK|NC000733|263.2000|01|01
DV000352|00000665|SERVICIOS Y REPUESTOS JUNIOR C.A.|20240530|OK|NC000732|13.4400|30|01
DV000353|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)|20240530|OK|NC000730|13.5800|19|01
DV000354|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)|20240530|OK|NC000731|12.5300|19|01
DV000355|00000731|OMEGA CARS REPUESTOS Y SERVICIOS, C.A.|20240530|OK|NC000729|29.8200|19|01
DV000356|00000663|MULTISERVICIOS Y AUTOPARTES JL CA|20240530|OK|NC000741|39.5400|04|01
DV000357|00000026|HONDA CARS, C.A.|20240530|OK|NC000740|18.0300|04|01
DV000358|00000492|MONACO AUTOPARTS #1, C.A. (MONACO AUTOPARTS #1, C.A.)|20240530|OK|NC000739|15.6500|04|01
DV000359|00000513|MARRERO'S CAR, C.A. (MARRERO'S CAR, C.A.)|20240531|OK|NC000738|63.4900|30|01
DV000360|00000443|CORPORACION HEROF C.A.|20240603|OK|NC000745|28.3200|19|01
DV000361|00000443|CORPORACION HEROF C.A.|20240603|OK|NC000746|22.9700|19|01
DV000362|00000443|CORPORACION HEROF C.A.|20240603|OK|NC000747|42.3100|19|01
DV000363|00000393|CARS PARTS SUR, C.A|20240603|OK|NC000744|13.4000|04|01
DV000364|00000752|LA CASA DEL LANCER C.A.|20240603|PE||25.2000|02|01
DV000365|00000046|SURTIDORA DE RESPUESTOS KOREANOS,C.A.|20240603|OK|NC000742|9.9400|02|01
DV000366|00000745|SUMINISTROS ASTUME CA|20240605|OK|NC000748|17.9600|01|01
DV000367|00000623|TE LO TENGO IMPORT 2021, C.A.|20240605|OK|NC000749|265.1200|30|01
