numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000081|00000400|AUTOREPUESTOS ENRIQUETA, C.A. (AUTOREPUESTOS ENRIQUETA, C.A.)|20230905|OK|NC000455|12.2400|02|05
DV000082|00000060|REPUESTOS COVECA CA|20230906|OK|NC000457|10.0800|01|05
DV000083|00000491|REPUESTOS EL MILENIUM 2002, C.A. (REPUESTOS EL MILENIUM 2002, C.A|20230908|OK|NC000458|6.4000|01|05
DV000084|00000631|DORAUTO IMPORTS, C.A|20230911|OK|NC000459|44.4000|02|05
DV000085|00000631|DORAUTO IMPORTS, C.A|20230911|OK|NC000460|49.5000|02|01
DV000086|00000229|REPUESTOS ASIATICOS L&D C.A|20230920|OK|NC000465|26.1900|04|01
DV000087|00000393|CARS PARTS SUR, C.A|20230920|OK|NC000466|21.0800|04|05
DV000088|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20230920|OK|NC000461|31.0800|01|05
DV000089|00000596|REPUESTOS SUPER SHAYA, C. A.|20230920|OK|NC000464|88.5900|01|05
DV000090|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20230920|OK|NC000463|213.2000|02|01
DV000091|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20230920|OK|NC000462|3.7200|01|01
DV000092|00000360|INVERSIONES AUTAKAT 2016, C.A|20230920|OK|NC000467|123.4200|01|01
DV000093|00000360|INVERSIONES AUTAKAT 2016, C.A|20230920|OK|NC000468|108.5500|01|01
DV000094|00000360|INVERSIONES AUTAKAT 2016, C.A|20230920|OK|NC000469|20.9200|01|01
DV000095|00000623|TE LO TENGO IMPORT 2021, C.A.|20230926|OK|NC000470|6.3600|30|01
DV000096|00000100|EL REY DEL KIA 2013, C.A.|20230927|OK|NC000471|98.3400|25|05
DV000097|00000310|SURTIDORA DE REPUESTOS KOREANOS II, C.A|20230927|OK|NC000531|21.0000|25|05
DV000098|00000466|AUTO REPUESTOS HYUNDAI, C.A (AUTO REPUESTOS HYUNDAI, C.A)|20230928|OK|NC000472|13.9900|33|05
DV000099|00000618|REPUESTOS M&amp;C VALENCIA, C.A|20230928|OK|NC000473|426.4000|02|01
DV000100|00000618|REPUESTOS M&amp;C VALENCIA, C.A|20230928|OK|NC000474|465.7200|02|01
DV000101|00000378|REPUESTOS SUPER VICTORIA, C.A|20230928|OK|NC000475|23.5800|01|05
DV000102|00000378|REPUESTOS SUPER VICTORIA, C.A|20230929|OK|NC000476|15.3900|01|05
DV000103|00000460|REPUESTOS CARONI C.A. (CARONICA) (REPUESTOS CARONI C.A (CARONICA)|20231002|OK|NC000477|75.0100|01|05
DV000104|00000719|GRUPO RODANBEL C.A.|20231003|OK|NC000478|118.7300|21|01
DV000105|00000354|EL GARAJE DE LOS REPUESTOS, C.A|20231004|OK|NC000484|0.0000|01|01
DV000106|00000048|REPUESTOS EL MILENIUM C.A|20231006|OK|NC000485|232.8600|34|01
DV000107|00000492|MONACO AUTOPARTS #1, C.A. (MONACO AUTOPARTS #1, C.A.)|20231006|OK|NC000486|117.3800|04|01
DV000108|00000244|REPUESTOS SAFIURI C.A|20231010|OK|NC000487|78.6600|19|01
DV000109|00000403|G.C AUTOPARTES C.A|20231010|OK|NC000488|12.3500|29|01
DV000110|00000403|G.C AUTOPARTES C.A|20231010|OK|NC000488|126.1400|29|01
DV000111|00000048|REPUESTOS EL MILENIUM C.A|20231010|OK|NC000489|61.1000|34|01
DV000112|00000356|AUTO PARTES VICLENY,C.A|20231010|OK|NC000490|93.1800|34|01
DV000113|00000378|REPUESTOS SUPER VICTORIA, C.A|20231010|OK|NC000491|15.3900|01|01
DV000114|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20231019|OK|NC000498|213.2000|02|01
DV000115|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20231019|OK|NC000498|91.9700|02|01
DV000116|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20231023|OK|NC000498|122.4700|02|01
DV000117|00000357|HK MOTOR'S, C.A|20231023|OK|NC000499|19.5600|02|01
DV000118|00000357|HK MOTOR'S, C.A|20231023|OK|NC000502|59.0500|02|01
DV000119|00000357|HK MOTOR'S, C.A|20231023|OK|NC000500|59.0500|02|01
