codmovban|fecha_mov|tipban|numdoc|concepto|importe|dimporte|tasadolar|tiporg|concilia
E0003|20221231|DP|AP000005|APERTURA|2987.0000||0.0000||F
00003|20230103|ND|VD001349|TRANSF FONDO AL PLAZA|-1000.0000||0.0000|ND|F
00001|20230103|NC|VD001349|TRANSF FONDO AL PLAZA|1000.0000||0.0000|NC|F
00003|20230103|CH|241389|COM OTROS BANCOS|-3.0000||0.0000||F
00003|20230103|ND|241389|I.D.B. Doc No.:241389|-0.0600||0.0000|DB|F
00001|20230103|CH|216283|TRANSF FONDO JR|-856.0000||0.0000||F
00001|20230103|ND|216283|I.D.B. Doc No.:216283|-17.1200||0.0000|DB|F
00001|20230103|CH|217217|CANC COM BNC SR OMAR|-150.0000||0.0000||F
00001|20230103|ND|217217|I.D.B. Doc No.:217217|-3.0000||0.0000|DB|F
00001|20230103|CH|2172171|COM OTROS BANCOS|-0.4500||0.0000||F
00001|20230103|ND|2172171|I.D.B. Doc No.:2172171|-0.0100||0.0000|DB|F
00003|20230103|CH|684987|CANC HON SRA BELKIS DHM Y REACA|-7075.3500||0.0000||F
00003|20230103|ND|684987|I.D.B. Doc No.:684987|-141.5100||0.0000|DB|F
00003|20230103|CH|6849871|COM PAGO MOVIL|-21.2300||0.0000||F
00003|20230103|ND|6849871|I.D.B. Doc No.:6849871|-0.4200||0.0000|DB|F
00003|20230103|CH|779560|CANC HON SR RAFAEL CIERRE|-1921.7000||0.0000||F
00003|20230103|ND|779560|I.D.B. Doc No.:779560|-38.4300||0.0000|DB|F
00003|20230103|CH|7795601|COM PAGO MOVIL|-5.7700||0.0000||F
00003|20230103|ND|7795601|I.D.B. Doc No.:7795601|-0.1200||0.0000|DB|F
00003|20230103|ND|VD001350|TRANSF FONDO AL PLAZA|-891.0000||0.0000|ND|F
00001|20230103|NC|VD001350|TRANSF FONDO AL PLAZA|891.0000||0.0000|NC|F
00003|20230103|CH|377132|COM OTROS BANCOS|-2.6700||0.0000||F
00003|20230103|ND|377132|I.D.B. Doc No.:377132|-0.0500||0.0000|DB|F
00003|20230103|CH|717740|CANC FC 100 SR MIGUEL|-1895.0000||0.0000||F
00003|20230103|ND|717740|I.D.B. Doc No.:717740|-37.9000||0.0000|DB|F
00003|20230103|CH|7177401|COM PAGO MOVIL|-5.6900||0.0000||F
00003|20230103|ND|7177401|I.D.B. Doc No.:7177401|-0.1100||0.0000|DB|F
V0099|20230103|DP|717740|CANC FC 100 SR MIGUEL|100.0000||0.0000||F
V0099|20230103|DP|356205|CANC FC 20 SR JULIO|20.0000||0.0000||F
00003|20230103|CH|356205|CANC FC 20 SR JULIO|-382.6000||0.0000||F
00003|20230103|CH|3562051|COM PAGO MOVIL|-1.1500||0.0000||F
00003|20230103|ND|VD001351|TRANSF FONDO AL PLAZA|-962.0000||0.0000|ND|F
00001|20230103|NC|VD001351|TRANSF FONDO AL PLAZA|962.0000||0.0000|NC|F
00003|20230103|ND|VD001352|TRANSF FONDO AL PLAZA|-100.0000||0.0000|ND|F
00001|20230103|NC|VD001352|TRANSF FONDO AL PLAZA|100.0000||0.0000|NC|F
00003|20230103|CH|472747|COM OTROS BANCOS|-2.8800||0.0000||F
00003|20230103|ND|472747|I.D.B. Doc No.:472747|-0.0600||0.0000|DB|F
00003|20230103|CH|544408|COM OTROS BANCOS|-0.3000||0.0000||F
00003|20230103|ND|544408|I.D.B. Doc No.:544408|-0.0100||0.0000|DB|F
00003|20230103|CH|172309|CANC SRA BELKIS JR|-527.4500||0.0000||F
00003|20230103|ND|172309|I.D.B. Doc No.:172309|-10.5500||0.0000|DB|F
00003|20230103|CH|1723091|COM PAGO MOVIL|-1.5800||0.0000||F
00003|20230103|ND|1723091|I.D.B. Doc No.:1723091|-0.0300||0.0000|DB|F
00003|20230103|CH|868759|PREST ESPEC 5$ SRA BELKIS|-92.5100||0.0000||F
00003|20230103|ND|868759|I.D.B. Doc No.:868759|-1.8500||0.0000|DB|F
00003|20230103|CH|8687591|COM PAGO MOVIL|-0.2800||0.0000||F
00003|20230103|ND|8687591|I.D.B. Doc No.:8687591|-0.0100||0.0000|DB|F
00003|20230103|CH|531024|CANC FC 200 SR OMAR ML|-3734.0000||0.0000||F
00003|20230103|ND|531024|I.D.B. Doc No.:531024|-74.6800||0.0000|DB|F
V0000|20230103|DP|531024|CANC FC 200 SR OMAR ML|200.0000||0.0000||F
00003|20230103|ND|VD001353|TRANSF PAGO IMPUESTOS|-2700.0000||0.0000|ND|F
00002|20230103|NC|VD001353|TRANSF PAGO IMPUESTOS|2700.0000||0.0000|NC|F
00003|20230103|CH|036579|COM OTROS BANCOS|-8.1000||0.0000||F
00003|20230103|ND|036579|I.D.B. Doc No.:036579|-0.1600||0.0000|DB|F
00003|20230103|CH|372709|TRANSF FONDO JR|-198.0000||0.0000||F
00003|20230103|ND|372709|I.D.B. Doc No.:372709|-3.9600||0.0000|DB|F
00003|20230103|CH|3727091C|COM PAGO MOVIL|-0.5900||0.0000||F
00003|20230103|ND|3727091C|I.D.B. Doc No.:3727091C|-0.0100||0.0000|DB|F
00003|20230103|CH|763620|COM PAGO MOVIL|-5.4000||0.0000||F
00003|20230103|ND|763620|I.D.B. Doc No.:763620|-0.1100||0.0000|DB|F
00003|20230103|CH|019771|COM PAGO MOVIL|-53.9700||0.0000||F
00003|20230103|ND|019771|I.D.B. Doc No.:019771|-1.0800||0.0000|DB|F
00003|20230103|CH|537030|COM PAGO MOVIL|-1.8800||0.0000||F
00003|20230103|ND|537030|I.D.B. Doc No.:537030|-0.0400||0.0000|DB|F
00003|20230103|CH|311222|COM MTTO CUENTA|-1.0000||0.0000||F
00003|20230103|ND|311222|I.D.B. Doc No.:311222|-0.0200||0.0000|DB|F
00002|20230103|CH|323991|CANC RET IVA 2DA QNA DIC 22|-1947.5500||0.0000||F
00002|20230103|CH|324472|CANC RET ISLR DIC 22|-733.7500||0.0000||F
00002|20230103|CH|311222|COM MTTO DE CUENTA|-1.5600||0.0000||F
00001|20230103|CH|250140|TRANSF FONDO JR|-891.0000||0.0000||F
00001|20230103|ND|250140|I.D.B. Doc No.:250140|-17.8200||0.0000|DB|F
00001|20230103|CH|275644|TRANSF FONDO JR|-962.0000||0.0000||F
00001|20230103|ND|275644|I.D.B. Doc No.:275644|-19.2400||0.0000|DB|F
00001|20230103|CH|311222|COM MMTTO CUENTA|-1.0200||0.0000||F
00001|20230103|ND|311222|I.D.B. Doc No.:311222|-0.0200||0.0000|DB|F
00003|20230103|TR|33754976|Canc.Multiple de CXC:AP000001|15024.0000||17.4700|AB|F
E0007|20230103|TR|ANTONIO|Canc.Multiple de CXC:AP000001|25.0000||0.0000|AB|F
V0002|20230103|TR|HK CEDE|Canc.Multiple de CXC:AP000001|600.0000||0.0000|AB|F
V0002|20230103|TR|GM 20122|Canc.Multiple de CXC:AP000001|300.0000||0.0000|AB|F
V0002|20230103|TR|LEONY 20|Canc.Multiple de CXC:AP000001|305.0200||0.0000|CA|F
V0002|20230103|TR|YANSA 21|Canc.Multiple de CXC:AP000001|80.0000||0.0000|AB|F
V0002|20230103|TR|TACARIGU|Canc.Multiple de CXC:AP000001|400.0000||0.0000|AB|F
V0019|20230103|TR|SAHARI 2|Canc.Multiple de CXC:AP000001|4805.5100||0.0000|CA|F
00003|20230103|TR|16676362|Canc.Multiple de CXC:AP000001|360.0000||18.0000|AB|F
V0004|20230103|ND|VD001354|CAMBIO ROBERTO DEYANIRA 211222|-70.0000||0.0000|ND|F
E0007|20230103|NC|VD001354|CAMBIO ROBERTO DEYANIRA 211222|70.0000||0.0000|NC|F
00003|20230103|TR|019771|Canc.Multiple de CXC:AP000001|3598.0000||17.9900|AB|F
E0004|20230103|TR|12384093|Canc.Multiple de CXC:AP000001|447.0000||0.0000|AB|F
E0007|20230103|TR|CESAR 23|Canc.Multiple de CXC:AP000001|1168.2800||0.0000|CA|F
E0007|20230103|TR|MINCHENG|Canc.Multiple de CXC:AP000001|1100.0000||0.0000|AB|F
V0004|20230103|ND|VD001355|CAMBIO ROBERTO YARISNET 221222|-50.0000||0.0000|ND|F
E0007|20230103|NC|VD001355|CAMBIO ROBERTO YARISNET 221222|50.0000||0.0000|NC|F
V0002|20230103|TR|MODICA 2|Canc.Multiple de CXC:AP000001|260.0000||0.0000|CA|F
00003|20230103|TR|82551537|Canc.Multiple de CXC:AP000001|125.3400||16.0300|CA|F
V0002|20230103|TR|DAVAL 23|Canc.Multiple de CXC:AP000001|170.0000||0.0000|AB|F
E0007|20230103|TR|JOSE 261|Canc.Multiple de CXC:AP000001|90.0000||0.0000|AB|F
V0002|20230103|TR|BENDEC2|Canc.Multiple de CXC:AP000001|200.0000||0.0000|AB|F
E0004|20230103|TR|14492941|Canc.Multiple de CXC:AP000001|40.0000||0.0000|AB|F
E0007|20230103|TR|DEIBY 28|Canc.Multiple de CXC:AP000001|65.0000||0.0000|AB|F
E0007|20230103|TR|OSWALDO|Canc.Multiple de CXC:AP000001|75.0000||0.0000|AB|F
E0007|20230103|TR|BRIXIA 2|Canc.Multiple de CXC:AP000001|24.0000||0.0000|AB|F
E0007|20230103|TR|BENIGNO|Canc.Multiple de CXC:AP000001|40.0000||0.0000|AB|F
E0007|20230103|TR|ZENIA 29|Canc.Multiple de CXC:AP000001|45.0000||0.0000|AB|F
E0004|20230103|TR|93924988|Canc.Multiple de CXC:AP000001|800.0000||0.0000|AB|F
E0004|20230103|TR|11480820|Canc.Multiple de CXC:AP000001|100.0000||0.0000|CA|F
E0003|20230103|CH|201222|VTA DIVISA 1100 LJ|-1100.0000||0.0000||F
E0003|20230103|DP|201222|RECEP COMPRA 305 REACA|305.0000||0.0000||F
00003|20230103|ND|356205|I.D.B. Doc No.:356205|-7.6500||0.0000|DB|F
00003|20230103|ND|3562051|I.D.B. Doc No.:3562051|-0.0200||0.0000|DB|F
E0003|20230103|TR|VENEKIA|Canc.Multiple de CXC:AP000001|2000.0000||0.0000|CA|F
V0000|20230103|ND|VD001356|RECEP FC 200 SR OMAR ML|-200.0000||0.0000|ND|F
E0003|20230103|NC|VD001356|RECEP FC 200 SR OMAR ML|200.0000||0.0000|NC|F
00003|20230103|ND|VD001357|TRANSF FONDO AL PLAZA|-250.0000||0.0000|ND|F
00001|20230103|NC|VD001357|TRANSF FONDO AL PLAZA|250.0000||0.0000|NC|F
00003|20230103|CH|146642|COM OTROS BANCOS|-0.7500||0.0000||F
00003|20230103|ND|146642|I.D.B. Doc No.:146642|-0.0200||0.0000|DB|F
00003|20230103|DP|146642|REIN DCTO PAGO MOVIL|0.2400||0.0000||F
V0021|20230103|ND|VD001359|TRANSF FONDO SRA GRICELIA|-150.0000||0.0000|ND|F
E0004|20230103|NC|VD001359|TRANSF FONDO SRA GRICELIA|150.0000||0.0000|NC|F
00001|20230103|CH|293882|CANC COM BNC SR OMAR|-200.0000||0.0000||F
00001|20230103|ND|293882|I.D.B. Doc No.:293882|-4.0000||0.0000|DB|F
00001|20230103|CH|29388221|COM OTROS BANCOS|-0.6000||0.0000||F
00001|20230103|ND|29388221|I.D.B. Doc No.:29388221|-0.0100||0.0000|DB|F
00003|20230109|CH|495864|CANC IVSS, BANAVIH E INCES|-440.0000||0.0000||F
00003|20230109|ND|495864|I.D.B. Doc No.:495864|-8.8000||0.0000|DB|F
00003|20230109|CH|4958641|COM PAGO MOVIL|-1.3200||0.0000||F
00003|20230109|ND|4958641|I.D.B. Doc No.:4958641|-0.0300||0.0000|DB|F
00003|20230109|CH|299585|CANC TLF JR|-160.0000||0.0000||F
00003|20230109|ND|299585|I.D.B. Doc No.:299585|-3.2000||0.0000|DB|F
00003|20230109|CH|594955|COM OTROS BANCOS|-0.1500||0.0000||F
00003|20230109|ND|594955|I.D.B. Doc No.:594955|0.0000||0.0000|DB|F
00003|20230109|ND|VD001360|TRANSF AL PLAZA|-50.0000||0.0000|ND|F
00001|20230109|NC|VD001360|TRANSF AL PLAZA|50.0000||0.0000|NC|F
00001|20230109|CH|551596|COMPRA CAFE OFICINA|-118.7500||0.0000||F
00001|20230109|ND|551596|I.D.B. Doc No.:551596|-2.3800||0.0000|DB|F
V0002|20230109|TR|UNION 09|Canc.Multiple de CXC:AP000001|800.0000||0.0000|AB|F
E0003|20230109|TR|F1 09012|Canc.Multiple de CXC:AP000001|590.0000||0.0000|CA|F
00003|20230109|TR|03379228|Canc.Multiple de CXC:AP000001|16.1500||17.9400|CA|F
E0003|20230109|TR|RIVAS 09|Canc.Multiple de CXC:AP000001|556.3600||0.0000|CA|F
E0003|20230109|TR|CAIRO 09|Canc.Multiple de CXC:AP000001|334.8500||0.0000|CA|F
V0001|20230109|TR|EUROASIA|Canc.Multiple de CXC:AP000001|1076.9100||0.0000|CA|F
E0004|20230109|TR|11310916|Canc.Multiple de CXC:AP000001|200.0000||0.0000|AB|F
E0004|20230109|CH|RCNH1S|VTA MENUDEO|-100.0000||0.0000||F
00001|20230109|DP|017056|RECEP VTA MENUDEO|1900.0000||0.0000||F
00001|20230109|ND|VD001361|TRANSF AL BANESCO|-1800.0000||0.0000|ND|F
00003|20230109|NC|VD001361|TRANSF AL BANESCO|1800.0000||0.0000|NC|F
00001|20230109|CH|319373|COM OTROS BANCOS|-5.4000||0.0000||F
00001|20230109|ND|319373|I.D.B. Doc No.:319373|-0.1100||0.0000|DB|F
V0021|20230109|TR|INV 297|Canc.Multiple de CXC:AP000001|250.0000||0.0000|AB|F
00003|20230109|CH|942538|CANC PERSONAL JR|-401.8000||0.0000||F
00003|20230109|ND|942538|I.D.B. Doc No.:942538|-8.0400||0.0000|DB|F
00003|20230109|CH|943064|CANC RENTA TLF OFICINA|-140.0000||0.0000||F
00003|20230109|ND|943064|I.D.B. Doc No.:943064|-2.8000||0.0000|DB|F
E0003|20230109|CH|311222|CANC DIF FLETE SR MIGUEL|-370.0000||0.0000||F
V0099|20230109|ND|VD001362|RECEP FC 190 SR MIGUEL|-190.0000||0.0000|ND|F
E0003|20230109|NC|VD001362|RECEP FC 190 SR MIGUEL|190.0000||0.0000|NC|F
E0003|20230109|CH|090123|CANC ESPEC MIGUEL MARTINEZ|-350.0000||0.0000||F
V0002|20230109|TR|YANSA|Canc.Multiple de CXC:AP000001|200.0000||0.0000|CA|F
00003|20230109|TR|62937429|Canc.Multiple de CXC:AP000001|328.6300||18.3900|CA|F
00001|20230109|CH|319835|CANC DIF SR MIGUEL|-84.1600||0.0000||F
00001|20230109|ND|319835|I.D.B. Doc No.:319835|-1.6800||0.0000|DB|F
E0003|20230109|CH|0901231|CANC COMPRA AGUA JR|-33.0000||0.0000||F
E0003|20230109|ND|VD001363|CAMBIO JENNIFER 231222|-50.0000||0.0000|ND|F
E0007|20230109|NC|VD001363|CAMBIO JENNIFER 231222|50.0000||0.0000|NC|F
E0003|20230109|ND|VD001364|CAMBIO ISVELIA 241222|-60.0000||0.0000|ND|F
E0007|20230109|NC|VD001364|CAMBIO ISVELIA 241222|60.0000||0.0000|NC|F
00003|20230109|CH|79964954|6 BOTELLONES AGUA POTABLE|-96.4300||0.0000||F
00003|20230109|ND|79964954|I.D.B. Doc No.:79964954|-1.9300||0.0000|DB|F
E0003|20230109|ND|VD001365|CAMBIO ISVELIA 060123|-35.0000||0.0000|ND|F
E0007|20230109|NC|VD001365|CAMBIO ISVELIA 060123|35.0000||0.0000|NC|F
E0003|20230109|ND|VD001366|CAMBIO JORGE 070123|-220.0000||0.0000|ND|F
E0007|20230109|NC|VD001366|CAMBIO JORGE 070123|220.0000||0.0000|NC|F
V0099|20230109|ND|VD001367|RECEP FC 100 SR MIGUEL ADRIANA|-100.0000||0.0000|ND|F
E0003|20230109|NC|VD001367|RECEP FC 100 SR MIGUEL ADRIANA|100.0000||0.0000|NC|F
E0007|20230109|TR|CICAR 09|Canc.Multiple de CXC:AP000001|100.0000||0.0000|AB|F
V0002|20230109|TR|YANSA 09|Canc.Multiple de CXC:AP000001|100.0000||0.0000|AB|F
E0003|20230109|CH|0901232|AJUSTE RIVAS REPUESTOS|-0.2100||0.0000||F
E0013|20230109|CH|090123|CANC SUELDO AR NOV-22|-340.0000||0.0000||F
00003|20230109|CH|374293|COM PAGO MOVIL|-4.9300||0.0000||F
00003|20230109|ND|374293|I.D.B. Doc No.:374293|-0.1000||0.0000|DB|F
00001|20230110|CH|017056|COM OTROS BANCOS|-28.5000||0.0000||F
00001|20230110|ND|017056|I.D.B. Doc No.:017056|-0.5700||0.0000|DB|F
E0007|20230110|TR|YANINA 0|Canc.Multiple de CXC:AP000001|62.0000||0.0000|AB|F
E0007|20230110|TR|DESIREE|Canc.Multiple de CXC:AP000001|26.0000||0.0000|AB|F
E0015|20230110|TR|11092617|Canc.Multiple de CXC:AP000001|1900.0000||0.0000|CA|F
V0002|20230110|TR|UNION|Canc.Multiple de CXC:AP000001|150.0000||0.0000|CA|F
E0007|20230110|TR|SAIDA 10|Canc.Multiple de CXC:AP000001|24.0000||0.0000|CA|F
E0007|20230110|TR|ZOBEIDA|Canc.Multiple de CXC:AP000001|80.0000||0.0000|CA|F
E0003|20230110|CH|100123|CANC BOLSA COMIDA|-232.0000||0.0000||F
E0003|20230110|CH|1001231|CANC CARTON DE HUEVOS|-60.0000||0.0000||F
V0002|20230110|TR|DORAUTO|Canc.Multiple de CXC:AP000001|1500.0000||0.0000|CA|F
E0003|20230110|CH|1001232|CANC COM SR DARIO Y ASIG VEHICULO|-306.0000||0.0000||F
00003|20230110|TR|82551863|Canc.Multiple de CXC:AP000001|1861.0000||18.6100|CA|F
00003|20230110|CH|863856|COM PAGO MOVIL|-27.9200||0.0000||F
00003|20230110|ND|863856|I.D.B. Doc No.:863856|-0.5600||0.0000|DB|F
E0003|20230110|TR|JOSE A 1|Canc.Multiple de CXC:AP000001|800.0000||0.0000|CA|F
00003|20230110|TR|33802611|Canc.Multiple de CXC:AP000001|2023.0000||20.2300|CA|F
E0007|20230110|TR|ML VARIO|Canc.Multiple de CXC:AP000001|740.0000||0.0000|CA|F
E0007|20230111|TR|ESTEBAN|Canc.Multiple de CXC:AP000001|200.0000||0.0000|AB|F
00003|20230111|ND|VD001368|TRANSF AL PLAZA|-4700.0000||0.0000|ND|F
00001|20230111|NC|VD001368|TRANSF AL PLAZA|4700.0000||0.0000|NC|F
00003|20230111|ND|VD001369|TRANSF AL PLAZA|-370.0000||0.0000|ND|F
00001|20230111|NC|VD001369|TRANSF AL PLAZA|370.0000||0.0000|NC|F
00003|20230111|CH|745581|COM OTROS BANCOS|-14.1000||0.0000||F
00003|20230111|ND|745581|I.D.B. Doc No.:745581|-0.2800||0.0000|DB|F
00003|20230111|CH|766073|COM OTROS BANCOS|-1.1100||0.0000||F
00003|20230111|ND|766073|I.D.B. Doc No.:766073|-0.0200||0.0000|DB|F
00001|20230111|CH|328412|CANC PATENTE DIC 22 Y DEF 2022|-4620.0000||0.0000||F
00001|20230111|ND|328412|I.D.B. Doc No.:328412|-92.4000||0.0000|DB|F
00001|20230111|CH|328558|CANC DIF PATENTE 2022|-40.0000||0.0000||F
00001|20230111|ND|328558|I.D.B. Doc No.:328558|-0.8000||0.0000|DB|F
00001|20230111|CH|328638|CANC HT VERTEDERO DIC 22|-190.0000||0.0000||F
00001|20230111|ND|328638|I.D.B. Doc No.:328638|-3.8000||0.0000|DB|F
E0003|20230111|TR|VENEKIA|Canc.Multiple de CXC:AP000001|940.0000||0.0000|CA|F
E0007|20230111|TR|OSMEL|Canc.Multiple de CXC:AP000001|46.0000||0.0000|CA|F
E0003|20230111|ND|VD001370|PREST ESPECIAL SR OMAR|-1000.0000||0.0000|ND|F
V0000|20230111|NC|VD001370|PREST ESPECIAL SR OMAR|1000.0000||0.0000|NC|F
00003|20230111|CH|7353267|GASTO JR|-406.0800||0.0000||F
00003|20230111|ND|7353267|I.D.B. Doc No.:7353267|-8.1200||0.0000|DB|F
V0002|20230111|TR|MUNDO KO|Canc.Multiple de CXC:AP000001|200.0000||0.0000|CA|F
00003|20230111|TR|00000710|Canc.Multiple de CXC:AP000001|515.1200||18.8000|CA|F
V0004|20230111|TR|BOSS HYU|Canc.Multiple de CXC:AP000001|100.0000||0.0000|AB|F
V0004|20230111|CH|151222|ANT COMISIONES DIC 2022|-120.0000||0.0000||F
00003|20230111|CH|007104|COM PAGO MOVIL|-7.7300||0.0000||F
00003|20230111|ND|007104|I.D.B. Doc No.:007104|-0.1500||0.0000|DB|F
V0002|20230111|TR|DAVAL|Canc.Multiple de CXC:AP000001|200.0000||0.0000|CA|F
00003|20230111|TR|30118314|Canc.Multiple de CXC:AP000001|3100.5000||20.6700|CA|F
V0021|20230111|ND|VD001371|TRANSF SRA GRICELIA|-210.0000||0.0000|ND|F
E0004|20230111|NC|VD001371|TRANSF SRA GRICELIA|210.0000||0.0000|NC|F
E0003|20230111|CH|110123|CANC PREST ESPEC PEDRO|-50.0000||0.0000||F
E0007|20230112|TR|CESAR M|Canc.Multiple de CXC:AP000001|1751.7300||0.0000|CA|F
00003|20230112|TR|82551893|Canc.Multiple de CXC:AP000001|7854.6000||20.6700|CA|F
00003|20230112|ND|VD001372|TRANSF AL PLAZA|-1000.0000||0.0000|ND|F
00001|20230112|NC|VD001372|TRANSF AL PLAZA|1000.0000||0.0000|NC|F
00003|20230112|CH|304834|COM OTROS BANCOS|-3.0000||0.0000||F
00003|20230112|ND|304834|I.D.B. Doc No.:304834|-0.0600||0.0000|DB|F
00003|20230112|CH|112345|LAVADO MOTO|-41.3400||0.0000||F
00003|20230112|ND|112345|I.D.B. Doc No.:112345|-0.8300||0.0000|DB|F
