numreq|numtra|emision|provee|nomprv|estatus|almacen|tot_req|moneda|cambio|gastos|factor|fecha_rece
001598||20200615|00000090||PE||447.4400|US$|210000.0000|0.0000|1.6700|
00000088||20200820|00000063||PE||70865.2500|US$|230000.0000|16.0000|2.3700|
00000089||20200820|00000063||PE||2160.0000|US$|330000.0000|16.0000|2.3700|
00008951||20200819|00000048||PE||2247.0500|US$|330000.0000|3.0000|1.4300|
00008952||20200819|00000048||PE||3234.0000|US$|330000.0000|3.0000|1.4300|
006503||20200828|00000090||PE||2760.4000|US$|350000.0000|0.0000|1.4300|
00002300||20200918|00000099||PE||1600.0000|US$|380000.0000|0.0000|1.4700|
00009674||20200924|00000048||PE||3778.2000|US$|345000.0000|3.0000|1.4300|
00002870||20201123|00000099||PE||1280.0000|US$|110000.0000|0.0000|1.5700|
00015725||20201214|00000048||PE||3488.1000|US$|150000.0000|0.0000|1.4300|
00015726||20201214|00000048||PE||1047.6000|US$|150000.0000|0.0000|1.4300|
00000103||20210122|00000002||PE||74062.4800|US$|160000.0000|15.0000|2.0200|
200928||20210208|00000063||PE||85861.2400|US$|180000.0000|16.0000|2.3900|
00018359||20210309|00000048||PE||6704.8400|US$|2000000.0000|2.0000|1.6600|
007954||20210416|00000090||PE||4300.9000|US$|280000.0000|0.0000|1.8300|
008004||20210423|00000090||PE||731.1200|US$|280000.0000|0.0000|1.8300|
007995||20210422|00000090||PE||588.4000|US$|0.0000|0.0000|1.8300|
00019594||20210420|00000048||PE||490.2000|US$|0.0000|2.0000|2.1300|
00019593||20210420|00000048||PE||5158.5000|US$|0.0000|2.0000|2.1300|
00019592||20210420|00000048||PE||8044.3600|US$|0.0000|2.0000|2.1300|
008042||20210428|00000090||PE||378.4000|US$|0.0000|0.0000|1.5700|
008579||20210630|00000090||PE||6741.3000|US$|3600000.0000|0.0000|1.8300|
00021788||20210629|00000048||PE||2536.0000|US$|4100000.0000|2.0000|1.6200|
00021789||20210629|00000048||PE||922.1000|US$|4100000.0000|2.0000|1.6200|
009009||20210813|00000090||PE||1923.0000|US$|0.0000|0.0000|1.6200|
009750||20211029|00000090||PE||1231.7000|US$|0.0000|0.0000|1.6300|
009751||20211029|00000090||PE||5283.2500|US$|0.0000|0.0000|1.6300|
009752||20211029|00000090||PE||495.9000|US$|0.0000|0.0000|1.6300|
009753||20211029|00000090||PE||2595.0000|US$|0.0000|0.0000|1.6300|
009759||20211029|00000090||PE||591.6700|US$|0.0000|0.0000|1.6300|
00020603||20211111|00000048||PE||3461.4000|US$|0.0000|3.0000|1.7400|
009869||20211122|00000090||PE||274.0000|US$|0.0000|0.0000|1.6300|
009883||20211122|00000090||PE||113.7000|US$|0.0000|0.0000|1.6300|
21C02-2||20211014|00000002||PE||134362.1500|US$|0.0000|27.0000|2.0600|
21C01||20210707|00000002||PE||119713.8600|US$|350000.0000|25.0000|2.0200|
21L02||20210707|00000002||PE||19976.3700|US$|3500000.0000|25.0000|2.0200|
21001SN||20210707|00000096||PE||31501.1400|US$|3500000.0000|25.0000|2.0200|
20211015||20220101|00000063||PE||121711.9000|US$|0.0000|32.0000|2.3500|
00024380||20220323|00000048||PE||2618.1600|US$|0.0000|0.0000|1.8300|
00024379||20220323|00000048||PE||2823.4300|US$|0.0000|0.0000|1.8300|
220001SN||20220208|00000096||PE||101226.2000|US$|0.0000|33.0000|2.0100|
00011664||20220511|00000090||PE||1844.4000|US$|0.0000|0.0000|1.8300|
00011822||20220520|00000090||PE||652.5000|US$|0.0000|0.0000|1.8300|
