codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
25460-2C000|TUBO AGUA HYUNDAI H1 09|H1|00108|31.8800|20.0000|12.0000|CHINA|||
24356-25000|FILTRO OCV HYUNDAI H1 09|H1|00108|11.9600|10.4000|3.1200|CHINA|||
27300-2E000-R|BOBINA ENCENDIDO HYUNDAI TUCSON 2015|TUCSO|00108|18.6000|16.1700|8.0000|CHINA|||
24350-2E011/10|SET ENGRANAJE CVVT HYUNDAI TUCSON 2015 (R+L)|TUCSO|00108|325.4300|282.9800|90.0000|CHINA|||
23040-3C202|JGO. ANILLO SORENTO 3.8 STD|OTROS|00108|66.4100|57.7500|28.0000|CHINA|||
23040-3C200|JGO. ANILLO SORENTO 3.8 0.20 (0.50)|OTROS|00108|66.4100|57.7500|28.0000|CHINA|||
23040-2G200|JGO. ANILLO HYUNDAI H1 2009 0.20 (0.50)|H1|00108|46.4900|40.4300|20.0000|CHINA|||
KITPISSORSTD|KIT PISTON Y ANILLO KIA SORENTO/SEDONA 3.8 STD|OTROS|00108|269.6400|234.4700|105.0000|CHINA|||
KIPISSOR20|KIT PISTON Y ANILLO KIA SORENTO/SEDONA 3.8 0.20 (0.50)|OTROS|00108|306.8300|266.8100|108.0000|CHINA|||
KITPISH150|KIT PISTON Y ANILLO HYUNDAI H1 09 0.20(0.50)|H1|00108|176.6600|153.6200|63.2000|CHINA|||
25460-3E700-SE|TUBO AGUA SANTA FE 06-09/OPTIMA 2.7 SEONG|SPTFE|00062|0.0000|10.0000|3.0000|CHINA|||
KITGUIA27|KIT GUIAS CADENA (INF Y SUP) KIA SPORTAGE 2.7 SEONG|SPTFE|00062|37.1700|32.3200|6.9000|CHINA|||
0K30C-11321|ENGRANAJE CIGUENAL KIA RIO STYLUS 1.5 SEONG|RIO|00062|41.4000|36.0000|2.0000|CHINA|||
24411-3E000-APK|TENSOR CADENA LEVA SANTA FE 2.7 2007|SPTFE|00074|50.9000|47.0000|13.4500|KOREA|||
27300-3F100-PME|BOBINA ENCENDIDO HYUNDAI H1 09 PMC-ESS|H1|00002|26.6800|23.2000|6.6200|KOREA|||
18840-11051-K|BUJIA HYUNDAI KIA LARGA VARIOS VALEO|OTROS|00066|10.0400|8.7300|3.1800|KOREA|||
24312-22613|CORREA TIEMPO HYUNDAI ACCENT 1.3/1.5 110 DTS BANDO|ACCEN|00139|18.9800|16.5000|4.6900|KOREA|||
25380-1F380-K|ELECTROVENTILADOR KIA SPORTAGE 2.7 HAN KOREA|SPTFE|00163|0.0000|0.0000|0.0000|KOREA|||
24410-26000-K|TENSOR TIEMPO HYUNDAI ACCENT/GETZ GATES 122-920002|ELGTZ|00031|17.3400|13.9500|4.3600|KOREA|||
24410-25001-K|TENSOR CADENA TIEMPO SONATA/CERAT/H1/SOR/SED HSC|OTROS|00106|44.1700|37.0000|9.6900|KOREA|||
37300-22200|ALTERNADOR HYUNDAI ACCENT 75 AM|ACCEN|00138|169.8200|147.6700|49.9500|KOREA|||
37300-22650|ALTERNADOR HYUNDAI TUCSON/GETZ REMAN|TUCSO|00138|201.7700|175.4500|54.8300|KOREA|||
37300-37800|ALTERNADOR KIA SPORTAGE 2.7|SPTFE|00201|190.1500|165.3500|51.6700|KOREA|||
37300-38400|ALTERNADOR HYUNDAI H1 06/ SANTA FE|H1|00138|172.5000|150.0000|45.7800|KOREA|||
27301-3C000|BOBINA ENCENDIDO KIA SEDONA / SORENTO 3.8 NEW CARENS|OTROS|00002|38.4200|33.4100|9.1900|KOREA|||
35310-02900|INYECTOR KIA PICANTO KOREA|PICAN|00138|26.7500|23.2600|7.0500|KOREA|||
0K303-13250|INYECTOR KIA RIO 1.5 KOREA|RIO|00198|28.7500|25.0000|10.0600|KOREA|||
21020-2G000|JGO. CONCHA BANCADA HYUNDAI H1 09 0.20 (0.50)|H1|00005|27.3200|23.7600|5.8600|KOREA|||
54501-2E001|MESETA RH KIA SPORTAGE 2.7|SPTFE|00095|82.0400|71.3400|20.3300|KOREA|||
54500-2E001|MESETA LH KIA SPORTAGE 2.7|SPTFE|00095|82.0400|71.3400|20.3300|KOREA|||
62486-2E000|BUJE PUENTE CUNA DEL. HYUNDAI TUCSON / SPORTAGE 05|TUCSO|00163|15.5300|13.5000|2.7200|KOREA|||
23124-02201|DAMPER KIA PICANTO HASTA 2007 D/M|PICAN|00200|48.3500|42.0000|12.0100|KOREA|||
21310-02552|BOMBA ACEITE KIA PICANTO 2009|PICAN|00163|94.8200|82.4500|22.6400|KOREA|||
43794-07100|GUAYA SELECTORA CAMBIO KIA PICANTO T/M|PICAN|00229|41.0200|35.6700|10.5400|KOREA|||
0K3Y-011SFY|JGO. CONCHA BIELA KIA RIO 1.5 0.30 (0.75)|RIO|00005|10.9300|9.5000|2.3800|KOREA|||
MB001-33-065A|ESTOPERA RUEDA DELT. INT KIA RIO|RIO|00163|4.0300|3.5000|0.4500|KOREA|||
24355-26710|VALVULA OCV KIA RIO 1.6/ACCENT CVVT|OTROS|00159|45.8200|39.8400|10.8900|KOREA|||
43119-39011|ESTOPERA CAJA TUCSON/SPT/ELAN 41X61X8.1X12.9|TUCSO|00256|6.3300|5.5000|0.8800|KOREA|||
