codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
57321-29100|CORREA DIRECCION HIDRAULICA HYUNDAI GETZ|ELGTZ|00255|6.3300|5.5000|1.4300|KOREA|||
22311-23700|EMPACADURA CAMARA TUCSON KOREA (23110)|TUCSO|00163|7.1500|6.0000|1.4500|KOREA|||
GT10170|POLEA TIEMPO GETZ 1.6 GMB|ELGTZ|00001|26.2500|16.0000|4.2800|KOREA|||
1881411051|JGO. BUJIA PUNTA PLATINO KIA HYUNDAI TODOS CHAMPIO|TUCSO|00188|22.6200|19.6700|5.0800|KOREA|||
23060-02591|JGO. CONCHA BIELA KIA PICANTO 0.10 (0.25) 02912|PICAN|00065|10.2800|8.9400|2.7300|KOREA|||
22311-26101|EMPACADURA CAMARA HYUNDAI GETZ 1.6|ELGTZ|00002|5.7500|5.0000|1.5000|KOREA|||
27501-22B00-K|JGO. CABLE BUJIA PICANTO|PICAN|00143|10.8200|9.4100|3.8500|KOREA|||
51720-02000|RODAMIENTO DELANTERO PICANTO / GETZ **GH038021**|PICAN|00163|23.9000|19.0000|4.8800|KOREA|||
51760-2E000-K|MUNON HYUNDAI TUCSON|TUCSO|00163|14.8000|12.0000|2.9900|KOREA|||
22311-2X200|EMPACADURA CAMARA RIO 1.5|RIO|00182|7.7200|5.5000|1.4400|KOREA|||
23060-02592|JGO. CONCHA BIELA KIA PICANTO 0.20 (0.50)|PICAN|00005|9.8200|8.5400|2.6100|KOREA|||
0K201-11312|ESTOPERA TRASERA CIGUENAL KIA RIO (AZUL)|RIO|00199|8.6300|7.5000|1.8900|KOREA|||
55530-17010|BIELETA TRAS. RH/LH HYUNDAI ELANTRA XD 29000|ELGTZ|00209|11.3900|9.9000|1.9500|KOREA|||
22441-2X001-CH|EMPACADURA TAPA VALVULA RIO STYLUS GENERICA|RIO|00077|0.0000|0.0000|1.0300|KOREA|||
22311-02760|EMPACADURA CAMARA PICANTO|PICAN|00020|6.0700|5.2800|1.6000|KOREA|||
22441-26100-OEM|EMPACADURA TAPA VALVULA GETZ 1.6 FINA ORIG|GETZ|00108|0.0000|0.0000|1.1000|CHINA|||
27501-23B70|JGO. CABLE BUJIA HYUNDAI TUCSON|TUCSO|00163|17.4900|15.2000|3.8100|KOREA|||
21020-02592|JGO. CONCHA BANCADA PICANTO 0.20 (0.50)|PICAN|00005|17.6200|15.3200|4.1700|KOREA|||
KKY01-32280|TERMINAL KIA RIO / PICANTO|RIO|00182|11.5000|10.0000|2.7400|KOREA|||
0K75A-10-271-K|EMPACADURA CAMARA KIA PREGIO 3.0 (22311-4Z000)|PREGI|00163|13.5700|11.8000|2.4700|KOREA|||
24312-26001|CORREA TIEMPO GETZ 1.6 GATES|ELGTZ|00031|21.8000|18.9000|5.1100|KOREA|||
22311-22350|EMPACADURA CAMARA ACCENT 1.3 (22360)|ACCEN|00163|5.6800|4.5000|1.4400|KOREA|||
54503-38A01-PMC|MUNON ACC/ELANTRA/GETZ PMC 22A00|ELGTZ|00163|9.1500|7.9000|2.4700|KOREA|||
2750126D00|JGO. CABLE BUJIA HYUNDAI GETZ 1.6|ELGTZ|00163|18.3800|15.9000|3.9000|KOREA|||
55530-2E200|BIELETA TRAS. RH/LH HYUNDAI TUCSON 55530-2E100|TUCSO|00245|13.2300|11.5000|1.9000|KOREA|||
0K30E-10271|EMPACADURA CAMARA KIA RIO 1.5 KOREA|RIO|00108|6.0700|5.2800|1.5500|CHINA|||
54556-22000|BUJE GRANDE MESETA INF. DEL. RH. HYUNDAI ACCENT|ACCEN|00095|6.3300|5.5000|1.3700|KOREA|||
25215-4Z020|CORREA ALTERNADOR KIA PREGIO|PREGI|00124|10.3500|9.0000|1.8100|KOREA|||
0S089-41400|BOMBA CLUTCH SUP. KIA PREGIO 3.0 13C0130|PREGI|00069|57.6400|50.1200|12.9400|KOREA|||
54555-22000|BUJE GRANDE MESETA INF. DEL. LH. HYUNDAI ACCENT|ACCEN|00095|6.3300|5.5000|1.3700|KOREA|||
0K65A-10104A|JGO. GUIA VALVULA PREGIO|PREGI|00070|37.7900|32.8600|8.8000|KOREA|||
GT10160|POLEA TIEMPO TUCSON GMB|TUCSO|00163|26.5200|16.5000|4.0500|KOREA|||
4142139275|COLLARIN TUCSON VALEO|TUCSO|00066|32.5100|28.2700|5.4000|KOREA|||
0K30E-10155|JGO. GOMA VALVULA KIA RIO|RIO|00163|10.9300|8.0000|2.4000|KOREA|||
0K60E-41920|BOMBIN CLUCHT INF. KIA PREGIO 3.0 13O013|PREGI|00069|33.8800|29.4600|6.6300|KOREA|||
56820-22000|TERMINAL HYUNDAI ACCENT|ACCEN|00163|10.5000|9.1300|2.4600|KOREA|||
24410-2X701|TENSOR KIA RIO 1.5 GMB (GT20050)|RIO|00031|20.3900|17.7300|5.2100|KOREA|||
27501-23B70-K|JGO. CABLE BUJIA TUCSON REEMPLAZO|TUCSO|00143|16.4600|14.3100|5.8700|KOREA|||
0K2A116510A|COLLARIN KIA RIO 1.5|RIO|00233|15.1500|13.2000|3.9800|KOREA|||
20910-22AE0|JGO. EMPACADURA ACCENT 1.5|ACCEN|00077|0.0000|0.0000|13.5700|KOREA|||
56820-37010|TERMINAL ACCENT IRP|ACCEN|00008|0.0000|0.0000|1.8500|KOREA|||
0K756-15171C|TERMOSTATO PREGIO 3.0|PREGI|00074|11.9800|10.4200|2.7200|KOREA|||
22224-23500SET|JGO. GOMA VALVULA ACCENT KOS|ACCEN|00064|8.6300|6.0000|1.8000|KOREA|||
23111-02812|CIGUENAL KIA PICANTO 8 PESAS CUADRANTE|PICAN|00140|159.8500|139.0000|46.7700|KOREA|||
51720-2D100|RODAMIENTO DELANTERO ELANTRA XD|ELGTZ|00163|20.8800|19.0000|6.0400|KOREA|||
KDX5032240B|ROTULA KIA RIO|RIO|00163|13.7400|11.5000|2.5400|KOREA|||
54503-31600|MU¥ON ACCENT/GETZ/ELANTRA|ACCEN|00143|11.2900|9.8200|3.3100|KOREA|||
22311-26101-OEM|EMPACADURA CAMARA GETZ 1.6|ELGTZ|00143|5.7300|4.9800|1.4500|KOREA|||
56820-2E900|TERMINAL HYUNDAI TUCSON RH|TUCSO|00163|13.8000|12.0000|3.6900|KOREA|||
56820-2E000|TERMINAL HYUNDAI TUCSON LH|TUCSO|00163|13.8000|12.0000|3.6900|KOREA|||
22311-23130|EMPACADURA CAMARA ACCENT 1.5|ACCEN|00163|6.4600|5.6200|1.7000|KOREA|||
57724-2E000|ROTULA TUCSON|TUCSO|00143|14.4300|12.5500|4.7400|KOREA|||
0K30A-41150C|GUAYA CLUTCH KIA RIO|RIO|00007|12.3400|10.5000|2.2000|KOREA|||
KSR62-10270|JGO. EMPACADURA KIA CERATO 1.6 CADENA|OTROS|00002|52.2700|45.4500|14.8900|KOREA|||
96966707|TENSOR CORREA UNICA AVEO|OTROS|00031|34.7800|30.2400|15.1600|KOREA|||
97730-FD100|ELECTROVENTILADOR AUXILIAR KIA RIO|RIO|00163|64.9500|56.4800|15.1800|KOREA|||
56540-22000-SEO|ROTULA HYUNDAI ACCENT SEONG|ACCEN|00062|7.4800|6.5000|2.2000|CHINA|||
MDX74-33-251|DISCO FRENO RIO STYLUS KDX74|RIO|00066|50.3100|43.7500|7.5700|KOREA|||
22441-23800-OEM|EMPACADURA TAPA VALVULA TUCSON 23762|TUCSO|00108|5.2900|4.6000|1.3400|CHINA|||
24551-02200|MARTILLO ADMISION KIA PICANTO|PICAN|00127|13.8300|12.0300|3.6000|KOREA|||
24441-26020|EMPACADURA TAPA VALVULA GETZ 1.6|ELGTZ|00022|5.2100|4.5300|1.2000|KOREA|||
27301-2B000|BOBINA ENCENDIDO KIA CERATO 1.6|OTROS|00137|32.2500|21.0000|6.1800|KOREA|||
24410-26000|TENSOR TIEMPO HYUNDAI ACCENT/GETZ HAN|ELGTZ|00163|14.3800|12.5000|3.4600|KOREA|||
56820-07000|TERMINAL KIA RIO IRP|RIO|00094|0.0000|0.0000|2.9400|KOREA|||
22311-37310/20|EMPACADURA CAMARA LH+RH SPTAGE 2.7/STA FE GOLD|SPTFE|00020|27.6000|24.0000|8.3600|KOREA|||
41510-07120|GUAYA CLUTCH PICANTO|PICAN|00122|14.3800|12.5000|2.7500|KOREA|||
24552-22020|MARTILLO B HYUNDAI ACCENT|ACCEN|00005|12.5600|10.9200|2.8800|KOREA|||
21910-2E501|BASE MOTOR DEL. HYUNDAI TUCSON PMC|TUCSO|00002|26.5200|23.0600|6.8700|KOREA|||
K0AD4-10270|JGO. EMPACADURA KIA SPORTAGE 2.7|SPTFE|00020|141.7300|123.2400|33.0000|KOREA|||
GT20060|POLEA TIEMPO KIA RIO 1.5 GATES (0K93712730C)|RIO|00031|16.5600|12.5000|4.1000|KOREA|||
37370-4Z210|REGULADOR ALTERNADOR KIA PREGIO 3.0|PREGI|00241|17.6100|15.3100|4.6400|KOREA|||
58101-07A00|PASTILLA FRENO PICANTO|PICAN|00002|0.0000|0.0000|7.2500|KOREA|||
0K75A46600D|GUAYA SELECTORA PREGIO CORTA|PREGI|00002|31.5800|27.4600|8.4400|KOREA|||
24551-22020|MARTILLO A HYUNDAI ACCENT|ACCEN|00002|10.9700|9.5400|2.8300|KOREA|||
22224-23500|JGO. GOMA VALVULA ACCENT MOBIS|ACCEN|00004|0.0000|0.0000|2.5400|KOREA|||
24610-22600|JGO. TAQUETES HYUNDAI ACCENT 12 (MJF0112100)|ACCEN|00236|57.3800|49.9000|18.8800|KOREA|||
24410-23050-V|TENSOR TUCSON GRANADA|TUCSO|00066|0.0000|0.0000|12.7000|KOREA|||
25380-FD000|ELECTROVENTILADOR PRINICIPAL KIA RIO 1.5|RIO|00163|67.4700|55.0000|15.1000|KOREA|||
24312-23202|CORREA TIEMPO TUCSON GATES|TUCSO|00031|25.6800|22.5000|6.2500|KOREA|||
20910-22R10|JGO. EMPACADURA HYUNDAI ACCENT 1.5|ACCEN|00163|39.2600|34.1400|9.1000|KOREA|||
21443-33005|ESTOPERA TRASERA CIGUENAL HYUNDAI TUCSON|TUCSO|00110|6.6500|5.5000|0.8100|KOREA|||
0K65A14100E|BOMBA ACEITE KIA PREGIO 3.0|PREGI|00002|116.3500|102.2700|31.9600|KOREA|||
54503-22A00|MUNON ACCENT/GETZ/ELAN SEONG|ACCEN|00062|7.1300|6.2000|3.2000|CHINA|||
24410-02550-GMB|TENSOR TIEMPO KIA PICANTO GMB (GT0240)|PICAN|00001|14.8100|12.8800|3.6000|KOREA|||
25380-1C110|ELECTROVENTILADOR GETZ 1.3|ELGTZ|00163|76.9700|66.9300|19.3500|KOREA|||
24312-02270|CORREA TIEMPO PICANTO GATES|PICAN|00031|22.2100|19.3100|6.1000|KOREA|||
22441-2X001|EMPACADURA TAPA VALVULA RIO STYLUS 2X000|RIO|00122|3.0600|2.6600|0.8300|KOREA|||
0K75A-10311B|JGO. CAMISA PREGIO 3.0|PREGI|00180|189.7500|168.4500|52.6400|KOREA|||
0K30E-13890|VALVULA PCV KIA RIO|RIO|00014|5.6600|4.9200|1.2000|KOREA|||
27301-22040|BOBINA ENCENDIDO HYUNDAI ACCENT|ACCEN|00134|33.2400|28.9000|12.1600|KOREA|||
KIT-03|KIT PISTON Y ANILLO PICANTO 0.20|PICAN|00068|0.0000|0.0000|31.6400|KOREA|||
21020-02591|JGO. CONCHA BANCADA KIA PICANTO 0.10 (0.25) 02901 ATOZ|PICAN|00121|13.0900|11.3800|3.4500|KOREA|||
2304023300-F|JGO ANILLO TUCSON STD FINO|TUCSO||0.0000|0.0000|9.0000||||
23060-02502|JGO. CONCHA BIELA STD PICANTO EXFIRE|PICAN||0.0000|0.0000|2.0000||||
2410-23701|JGO. PISTON STD TUCSON ARO FINO EXFIRE|TUCSO||0.0000|0.0000|15.0000||||
21930-1F100|BASE MOTOR TRAS. HYUNDAI TUCSON|TUCSO|00091|27.0900|23.5600|5.4600|KOREA|||
0K30F39050A|BASE MOTOR KIA RIO STYLUS 1|RIO|00095|23.9400|20.8200|5.1500|KOREA|||
54551-2E000|BUJE PEQ. MESETA INF. DEL. HYUNDAI TUCSON KOREA|TUCSO|00083|7.5800|6.5900|2.1000|KOREA|||
23124-2X010|DAMPER KIA RIO 1.5|RIO|00007|52.6700|45.8000|13.7900|KOREA|||
54830-1F000|BIELETA DEL. RH/LH HYUNDAI TUCSON / KIA SPORTAGE 2|TUCSO||0.0000|0.0000|3.5700||||
0K75A-10270B|JGO. EMPACADURA KIA PREGIO 3.0 (70A)|PREGI|00182|48.4200|42.1000|12.1400|KOREA|||
HDK-101|KIT EMBRAGUE GETZ 1.6 SECO|ELGTZ|00052|204.1800|177.5500|45.9100|KOREA|||
22443-23001|KIT SELLOS BUJIAS HYUNDAI TODOS|TUCSO|00122|6.4400|5.6000|1.1600|KOREA|||
24410-02550|TENSOR TIEMPO PICANTO|PICAN|00101|0.0000|0.0000|4.8900|KOREA|||
23120-02570|ENGRANAJE CIGUE¥AL KIA PICANTO CUADRANTE|PICAN|00002|10.7300|9.3300|2.1100|KOREA|||
51750-FD000|MOSO DELANTERO RIO STYLUS|RIO|00137|35.5400|30.9000|7.8700|KOREA|||
KIT-01|KIT PISTON Y ANILLO TUCSON 0.20|TUCSO||0.0000|0.0000|43.4000||||
23410-23942|JGO. PISTON 0.50 TUCSON|TUCSO|00002|111.1900|96.6900|25.8800|KOREA|||
0K3Y2-11SCO|JGO. ANILLO STD RIO 1.5  EXFIRE|RIO||0.0000|0.0000|0.0000||||
23060-23911|JGO. CONCHA BIELA HYUNDAI TUCSON 0.10 (0.25) SEONG|TUCSO|00062|8.6000|7.4800|1.8500|CHINA|||
KK1Y0-11SFE0|JGO. CONCHA BIELA RIO 0.10|RIO|00005|9.1300|7.9400|2.1000|KOREA|||
KK1Y0-11SH0|JGO. CONCHA BANCADA KIA RIO 0.10 (0.25)|RIO|00121|16.1000|14.0000|4.3800|KOREA|||
KK1Y0-11SF0|JGO. CONCHA BIELA KIA RIO 0.10 (0.25) 0K3Y0|RIO|00251|9.3800|7.9000|2.1900|KOREA|||
0SE01-11213|JGO. BOCINAS KIA PREGIO|PREGI|00072|16.5600|14.4000|3.5200|KOREA|||
21310-23002|BOMBA ACEITE HYUNDAI TUCSON MOBIS|TUCSO|00004|0.0000|0.0000|0.0000|KOREA|||
0K30C-59560C|MECANISMO ELEVA VIDRIO KIA RIO LH MOBIS|RIO|00004|91.6000|79.6500|39.0100|KOREA|||
0K6Z1-11SE0|JGO. CONCHA BIELA KIA PREGIO STD|PREGI|00121|15.8100|13.7500|3.3400|KOREA|||
0K75B-18140|JGO. BUJIA PREGIO 3.0|PREGI|00044|34.3500|29.8700|8.0000|KOREA|||
24312-2X000|CORREA TIEMPO RIO 1.5 GATES|RIO|00031|24.4800|21.2900|5.0600|KOREA|||
20910-02H00|JGO. EMPACADURA KIA PICANTO|PICAN|00002|33.3500|29.0000|10.5400|KOREA|||
22441-23800|EMPACADURA TAPA VALVULA TUCSON 12 HUECOS|TUCSO|00163|5.8200|5.0600|1.2700|KOREA|||
0K75A-111201C|JUEGO PASADOR PISTON PREGIO 3.0|PREGI|00070|0.0000|0.0000|0.0000|KOREA|||
0K75A-10100B|CAMARA MOTOR KIA PREGIO 3.0 CON VALVULAS|PREGI|00005|925.1300|804.4600|190.0000|KOREA|||
0K65B-10220B|TAPA VALVULA KIA PREGIO KOREA|PREGI|00026|34.3900|29.9000|5.9600|KOREA|||
23040-4Z910|JGO. ANILLOS PREGIO 3.0|PREGI|00112|94.4500|82.1300|22.0000|KOREA|||
OVNY1-11SF0|JGO. CONCHA BIELA PREGIO 0.10|PREGI|00005|15.8100|13.7500|3.5000|KOREA|||
HY820|PUNTA TRIPOIDE TUCSON 27 X 23|TUCSO||0.0000|0.0000|0.0000||||
HY822|PUNTA TRIPOIDE TUCSON 27 X 25|TUCSO||0.0000|0.0000|0.0000||||
23410-26111-030|JGO. PISTON HYUNDAI GETZ 0.30 (0.75) SEONG (26511)|ELGTZ|00062|54.7300|47.5900|11.8000|CHINA|||
0K79A-18300|ALTERNADOR KIA PREGIO 3.0 OEM|PREGI|00004|464.8900|404.2500|150.9800|KOREA|||
66400-07021|CAPOT PICANTO MN ORIGINA|PICAN||0.0000|0.0000|0.0000||||
OK30C-50220|PARACHOQUE TRASERIO RIO 2002|RIO||0.0000|0.0000|0.0000||||
66400-07021-TW|CAPOT PICANTO TAIWAN|PICAN||0.0000|0.0000|0.0000||||
HDK-036|KIT EMBRAGUE ACCENT 1.5|ACCEN||0.0000|0.0000|0.0000||||
23110-4X000|CIGUE¥AL PREGIO 3.0|PREGI|00140|411.1900|357.5600|91.3500|KOREA|||
23510-23700|BRAZO BIELA HYUNDAI TUCSON|TUCSO|00159|52.1600|45.3600|12.8200|KOREA|||
51720-2D000|RODAMIENTO DELANTERO ELANTRA XD (2D100)|OTROS|00002|25.2000|21.9100|6.8500||||
27301-26640|BOBINA ENCENDIDO KIA RIO CVVT 1.6 / ACCENT 1.6|OTROS|00097|19.1400|16.6400|5.7400|KOREA|||
27301-3E400|BOBINA ENCENDIDO HYUNDAI SANTA FE 2 PINES|SPTFE|00066|40.1200|34.8900|8.8700|KOREA|||
56311-2E100|GUARDAFANGO LH TUCSON|TUCSO||0.0000|0.0000|0.0000||||
66321-2E100|GUARDAFANGO RH TUCSON|TUCSO||0.0000|0.0000|0.0000||||
58315FDA01|JGO BANDA FRENO RIO STYLUS|RIO||0.0000|0.0000|0.0000||||
218102D100|BASE MOTOR RH HYUNDAI ELANTRA|ELGTZ|00143|41.8700|36.4100|14.9300|KOREA|||
0VN0111210|BRAZO BIELA KIA PREGIO MOBIS|PREGI||0.0000|0.0000|0.0000||||
0K30A-18-10X-K|BOBINA ENCENDIDO KIA RIO 1.3 PMC|RIO|00002|55.4100|48.1800|14.6000|KOREA|||
21310-02550|BOMBA ACEITE KIA PICANTO OEM|PICAN|00004|116.8500|101.6100|27.2000|KOREA|||
0K30F14100D-PM|BOMBA ACEITE KIA RIO 1.5 PARTS MALL|RIO|00023|86.4600|75.1800|21.8700|KOREA|||
25100-02566|BOMBA AGUA KIA PICANTO|PICAN|00011|32.0500|27.8700|5.5000|CHINA|||
0K30C11300|CIGUE¥AL KIA RIO 1.5 KOREA|RIO|00007|277.1400|240.9900|70.0000|KOREA|||
25380-1C360-A|ELECTROVENTILADOR HYUNDAI GETZ 1.6 SEONG|ELGTZ|00062|87.4000|76.0000|17.5000|CHINA|||
25380-1C150|ELECTROVENTILADOR GETZ 1.6 TM|ELGTZ|00163|115.0000|100.0000|20.4300|KOREA|||
4311928000|ESTOPERA COPA CAJA TRICETA KIA RIO / ACCENT (28001 35X56X7.5X11.5 CORTECO|RIO|00077|3.3200|2.8900|0.5600|KOREA|||
41510-07110|GUAYA CLUTCH PICANTO MOBIS|PICAN||0.0000|0.0000|0.0000||||
23040-23000|JGO. ANILLO HYUNDAI TUCSON STD **FINO** (23300)|TUCSO|00073|35.8000|31.1300|10.2400|KOREA|||
27501-02H00|JGO. CABLE BUJIA PICANTO|PICAN||0.0000|0.0000|0.0000||||
51750FD000|MOSO DELANTERO RIO STYLUS|RIO||42.0400|36.5600|8.6700||||
3925023500|SENSOR DETONACION HYUNDAI TUCSON/ELANTRA|TUCSO|00159|22.4300|19.5000|4.7900|KOREA|||
3918023910|SENSOR POSICION CIGUENAL TUCSON/ELAN MOBIS|TUCSO|00004|29.4400|25.6000|6.2200|KOREA|||
224002X001|TAPA VALVULA RIO STYLUS|RIO|00004|128.6300|111.8500|29.9600|KOREA|||
0K75615171C|TERMOSTATO PREGIO MOBIS|PREGI||0.0000|0.0000|0.0000||||
0K2C0-15-171|TERMOSTATO KIA RIO MOBIS|RIO||0.0000|0.0000|0.0000||||
3515022000|VALVULA IAC ACCENT|ACCEN||0.0000|0.0000|0.0000||||
21020-23340-050|JGO. CONCHA BANCADA HYUNDAI TUCSON 0.20 (0.50) SEONG|TUCSO|00062|16.8200|14.6300|3.1200|CHINA|||
23040-23010|JGO. ANILLOS GETZ 1.6 0.30|GETZ||0.0000|0.0000|0.0000||||
25330-2E000|TAPA RADIADOR 1.1 3K000|OTROS|00174|4.0300|3.5000|0.6300|KOREA|||
24255-23800|OCV TUCSON|TUCSO|00004|123.9500|107.7800|28.8500|KOREA|||
HDK-062|KIT EMBRAGUE PICANTO VALEO|PICAN|00066|128.5400|111.7700|31.1400|KOREA|||
25650-02560|TOMA AGUA CORTA PICANTO CON SENSOR|PICAN||0.0000|0.0000|7.7100||||
25611-02502|TOMA  AGUA CORTA KIA PICANTO SIN SENSOR SEONG|PICAN|00062|9.6100|8.3600|1.9500|CHINA|||
25600-02566|TOMA  AGUA LARGA KIA PICANTO CON TERMOSTATO SEONG|PICAN|00062|26.1200|22.7100|6.5000|CHINA|||
0K75A11201C|KIT PASADOR PISTON PREGIO|PREGI|00002|41.6500|35.0000|8.5600|KOREA|||
RODTRAS|KIT RODAMIENTO TRASERO RIO|RIO|00007|9.5000|8.2600|2.5900|KOREA|||
52720-1F000|RODAMIENTO TRASERO TUCSON 4X4|TUCSO|00060|31.8300|24.0000|5.6400|KOREA|||
22224-2B001|JGO. GOMA VALVULA KIA PICANTO / HYUNDAI I10|PICAN|00002|12.3200|10.7100|2.5200|KOREA|||
24410-23400|TENSOR TIEMPO HYUNDAI ELANTRA 2.0 LISO (23500)|ELGTZ|00031|22.1400|19.2500|5.8300|KOREA|||
373004Z600|ALTERNADOR KIA PREGIO 3.0 (4Z400) 12V 60A|PREGI|00138|305.6700|265.8000|111.2900|KOREA|||
21910-2D050|BASE MOTOR DEL. HYUNDAI ELANTRA PMC|ELGTZ|00182|16.6800|14.5000|4.4100|KOREA|||
21810FD060|BASE MOTOR RH KIA RIO SYTLUS 3|RIO|00095|29.3600|25.5300|6.7100|KOREA|||
2185022300|BASE MOTOR TRAS. HYUNDAI ACCENT CARACOL|ACCEN||0.0000|0.0000|0.0000||||
546102D100|BASE AMORT. DEL. HYUNDAI ELANTRA XD|ELGTZ|00095|20.7600|18.5000|5.5000|KOREA|||
27301-26600-PMC|BOBINA ENCENDIDO HYUNDAI GETZ 1.6 PMC|ELGTZ|00002|72.7800|63.2900|15.0600|KOREA|||
0K30A-18-10X|BOBINA ENCENDIDO KIA RIO 1.3 DENSO|RIO|00085|64.5400|56.1200|17.2400|KOREA|||
4171022660|BOMBIN CLUTCH INF. HYUNDAI ACCENT 11O0080|ACCEN|00253|35.4100|30.7900|7.9500|KOREA|||
54813-22200|BUJE BARRA ESTAB. DEL. HYUNDAI ACCENT|ACCEN|00062|0.0000|0.0000|0.0000|CHINA|||
KDX74-33-251|DISCO FRENO RIO STYLUS|RIO||0.0000|0.0000|0.0000||||
97730-22000|ELECTROVENTILADOR AUXILIAR HYUNDAI ACCENT SEONG|ACCEN|00062|51.9700|45.1900|11.0000|CHINA|||
25380-22220|ELECTROVENTILADOR PRINCIPAL ACCENT|ACCEN||0.0000|0.0000|0.0000||||
25380-2E250|ELECTROVENTILADOR HYUNDAI TUCSON SEONG|TUCSO|00062|123.6100|107.4900|25.8000|CHINA|||
22441-22012|EMPACADURA TAPA VALVULA ACCENT|ACCEN|00108|4.7700|4.1500|1.2200|CHINA|||
31911-22000|FILTRO GASOLINA ACCENT|ACCEN|00077|6.4200|5.5800|2.1000|KOREA|||
VAL-PREG|JGO. VALVULA PREGIO 8PCS|PREGI||0.0000|0.0000|0.0000||||
0K72A-34510A|MUNON PREGIO|PREGI|00131|20.1900|17.5600|6.4900|KOREA|||
58101-2DA31|PASTILLA FRENO ELANTRA XD|OTROS||0.0000|0.0000|0.0000||||
58101-24A00-SEO|JGO. PASTILLA  HYUNDAI ACCENT/GETZ SEONG|ELGTZ|00062|17.8900|15.5600|4.5000|CHINA|||
58101-3CA70|PASTILLA FRENO TUCSON|TUCSO||0.0000|0.0000|0.0000||||
2441023050|TENSOR TIEMPO TUCSON GANCHO (GTB0060)|TUCSO|00001|49.7800|44.0000|12.2900|KOREA|||
0K72A-32-240A|TERMINAL PREGIO|PREGI||0.0000|0.0000|0.0000||||
3922022020|VALVULA TEMPERATURA ACCENT|ACCEN|00007|5.0100|4.3600|1.3200|KOREA|||
57724-2D000|ROTULA ELANTRA XD|ELGTZ|00002|13.8000|12.0000|2.9700|KOREA|||
KIT-050PIC|KIT PISTON Y ANILLO PICANTO 0.20 (050)|PICAN||0.0000|0.0000|31.6400||||
KIT-075PIC|KIT PISTON Y ANILLO PICANTO 0.30 (075)|PICAN||0.0000|0.0000|0.0000||||
24312-37500|CORREA DE TIEMPO SPORTAGE 2.7 207YU32|SPTFE|00031|58.5100|50.8800|29.7400|KOREA|||
24355-23800-K|VALVULA OCV HYUNDAI TUCSON KOREANA  CORTA|TUCSO|00159|53.2900|46.3400|13.4200|KOREA|||
23410-26511-0.5|JGO. PISTON GETZ 0.50 ARO FINO|GETZ|00015|0.0000|0.0000|24.0500|KOREA|||
23410-23942-K|JGO. PISTON TUCSON 0.50 ARO FINO KOREANO|TUCSO|00015|0.0000|0.0000|29.2700|KOREA|||
23040-26160-050|JGO. ANILLO GETZ 1.6 0.20 (0,50) FINO|ELGTZ|00062|25.6700|22.3200|5.7000|CHINA|||
23040-02970-050|JGO. ANILLO KIA PICANTO 0.20 (0.50) (02952)|PICAN|00112|37.2300|32.3700|9.4100|KOREA|||
23040-23902|JGO. ANILLO TUCSON 0.20 (0,50) GRUESO|TUCSO|00073|37.3400|32.4700|9.8400|KOREA|||
27301-3E400-PMC|BOBINA ENCENDIDO HYUNDAI SANTA FE 2 PINES PMC|SPTFE|00002|37.2100|32.3600|9.4900|KOREA|||
25215-4Z020-OEM|CORREA  ALTERNADOR PREGIO MOBIS|PREGI||0.0000|14.0000|4.3200||||
23040-4Z910-OEM|JGO. ANILLO KIA PREGIO 3.0 MOBIS|PREGI|00004|115.6700|100.5800|9.3100|KOREA|||
4142139275-OEM|COLLARIN HYUNDAI TUCSON KP|TUCSO|00118|11.2700|9.8000|2.5000|CHINA|||
273012B000|BOBINA ENCENDIDO KIA CERATO 1.6 PMC|OTROS|00002|24.1500|21.0000|6.4500|KOREA|||
54584-2E000|BUJE GRANDE MESETA INF. DEL. HYUNDAI TUCSON|TUCSO|00169|7.7500|6.5000|0.9500|KOREA|||
35301-22032|REGULADOR GASOLINA  HYUNDAI ACCENT INZI|ACCEN|00084|23.0000|20.0000|7.0900|KOREA|||
0K75A-10-271|EMPACADURA CAMARA PREGIO 3.0|PREGI||0.0000|0.0000|0.0000||||
22311-22001-OEM|EMPACADURA CAMARA ACCENT 1.5 ORIGINAL|ACCEN|00108|5.2900|4.6000|1.5500|CHINA|||
ESTO-343|ESTOPERA DELANTERA CIGUE¥AL RIO 1.5|RIO|00077|1.3100|1.1400|0.4700|KOREA|||
ESTO-342|ESTOPERA LEVA KIA RIO 1.5|RIO|00007|2.1600|1.8800|0.3600|KOREA|||
41430-22652|HORQUILLA CLUTCH ACCENT|ACCEN|00163|11.3900|9.9000|1.8100|KOREA|||
54615-FD000-K|BASE AMORT. DEL. RH KIA RIO STYLUS KOREA|RIO|00095|25.3200|22.0200|5.5900|KOREA|||
54610-FD000-K|BASE AMORT. DEL. LH KIA RIO STYLUS KOREA|RIO|00095|25.3200|22.0200|5.5900|KOREA|||
9783422000|POLEA A/A HYUNDAI ACCENT PEQUENA GTA0740|ACCEN|00001|16.4200|14.2000|4.0100|KOREA|||
52710-2D111|MOSO TRASERO ELANTRA C/DISCO|OTROS||0.0000|0.0000|0.0000||||
52750-1G000|MOSO TRASERO GETZ/PICANTO|ELGTZ|00137|72.7900|63.3000|25.3200|KOREA|||
