item|emision|penddesp
21910-2D050|20230822|80.0000
87170-2E020|20240409|50.0000
46321-39010|20240409|25.0000
57581-2E001-|20240409|100.0000
87170-2E020|20240409|50.0000
46321-39010|20240409|25.0000
57581-2E001-|20240409|100.0000
21910-2D050|20240403|50.0000
0K77P-15200B|20240403|34.0000
21830-1G000-SEO|20240627|38.0000
0K1Y011-SEO-025|20250204|25.0000
0K1Y011-SEO-050|20250204|45.0000
0K1Y011-SEO-075|20250204|15.0000
0K1Y011-SGO-050|20250204|45.0000
21810-FD060-KP|20260514|100.0000
21810-1G000-KP|20260514|40.0000
21811-2B000-SE|20260514|50.0000
54830-07000-KP|20260514|200.0000
54840-07000-KP|20260514|200.0000
54830-FD000-DHM|20260514|200.0000
54820-FD000-DHM|20260514|200.0000
54830-2D000-DHM|20260514|200.0000
54830-1F000-DHM|20260514|300.0000
55530-2B000-SEO|20260514|200.0000
21310-22010-SEO|20260514|100.0000
21310-26650-DHM|20260514|50.0000
25100-4Z000-SE|20260514|30.0000
25100-37201-SEO|20260514|48.0000
31110-3K100-SEO|20260514|30.0000
24321-26701-SE|20260514|200.0000
57700-1F800-SEO|20260514|20.0000
22100-26100-SEO|20260514|15.0000
23110-38230|20260514|10.0000
4PK850-SEONG|20260514|989.0000
24321-23770-OEM|20260514|200.0000
24321-37100-SE|20260514|200.0000
23110-23780-SE|20260514|30.0000
93110-4F000-SE|20260514|200.0000
22144-3B001|20260514|500.0000
97730-2D000-SE|20260514|60.0000
25380-22220-SEO|20260514|40.0000
25380-2E250|20260514|50.0000
0K75A10271-SEON|20260514|200.0000
92201-2E000-SEO|20260514|60.0000
92202-2E000-SEO|20260514|60.0000
92201-FD000-SEO|20260514|50.0000
92202-FD000-SEO|20260514|50.0000
0K72B-13850E-SE|20260514|150.0000
94460-22020-SEO|20260514|200.0000
94430-2B000-SEO|20260514|50.0000
94460-2B000-SEO|20260514|100.0000
94430-4A050-SEO|20260514|50.0000
94460-07100-SEO|20260514|50.0000
94460-3K000-SEO|20260514|50.0000
94460-1C000-SEO|20260514|50.0000
24521-22010-SEO|20260514|500.0000
0K72A-62-610-SE|20260514|100.0000
0K72A-63-610-SE|20260514|100.0000
87170-2E020-SE|20260514|120.0000
20910-26E00-SEO|20260514|100.0000
20910-23C21-SE|20260514|100.0000
KSP61-10270C-SE|20260514|100.0000
0K75A-10270B-SE|20260514|50.0000
23410-22360-050|20260514|100.0000
23410-22460-050|20260514|100.0000
23410-23942-050|20260514|500.0000
23410-26511-050|20260514|50.0000
23410-3E011050S|20260514|100.0000
0K65D-12111-121|20260514|40.0000
20910-38E00-SEO|20260514|100.0000
20910-37L01-SE|20260514|100.0000
HDK-174-KP|20260514|50.0000
0K75A-11-201C-S|20260514|200.0000
25411-2E101-SEO|20260514|100.0000
0K72A-34200A-SE|20260514|50.0000
54503-22A00|20260514|500.0000
82650-FD010XX|20260514|200.0000
82660-FD010XX|20260514|200.0000
82610-2D000AX|20260514|50.0000
82620-2D000AX|20260514|100.0000
51750-2D000-KP|20260514|50.0000
51750-3A003-KP|20260514|50.0000
51760-1G000-SEO|20260514|50.0000
54530-4A000-KP|20260514|100.0000
0K72A-34510-KP|20260514|50.0000
51760-2E000-DHM|20260514|100.0000
31115-2D000-SEO|20260514|300.0000
21441-22610|20260514|200.0000
25310-2D010-SE|20260514|30.0000
KIT-0K72A|20260514|200.0000
56540-22000-SEO|20260514|100.0000
21522-2X000-SEO|20260514|400.0000
45956-28010-SEO|20260514|50.0000
22311-2CAC0/AD0|20260514|100.0000
56820-22000-DHM|20260514|200.0000
KKY01-32280-DHM|20260514|200.0000
24410-26800-SEO|20260514|40.0000
30180-10100-SE|20260514|100.0000
31110-1C000-SE|20260514|50.0000
21810-2G000-SEO|20260514|50.0000
21930-2G000-SEO|20260514|50.0000
92201-1F500-SEO|20260514|60.0000
92202-1F500-SEO|20260514|60.0000
23211-21054-SEO|20260514|50.0000
23410-22360-075|20260514|50.0000
23410-22460-075|20260514|50.0000
83220-2E000-SEO|20260514|100.0000
83210-2E000-SEO|20260514|100.0000
82210-2E000-SEO|20260514|100.0000
82220-2E000-SEO|20260514|100.0000
82210-2D000-SEO|20260514|100.0000
82220-2D000-SEO|20260514|100.0000
83241-2D000-SEO|20260514|100.0000
83231-2D000-SEO|20260514|100.0000
82660-4A300-SEO|20260514|50.0000
54610-1G500|20260709|10.0000
21810-2G000|20260709|40.0000
54811-3E160|20260709|50.0000
27300-39050|20260709|20.0000
25100-39010|20260709|31.0000
0K30B-32650|20260709|40.0000
24312-39800|20260709|30.0000
49140-4A500|20260709|3.0000
59760-2E200|20260709|40.0000
54610-2B000|20260709|6.0000
0K60A-39340A|20260709|38.0000
55530-17010|20260709|100.0000
41610-2E005|20260709|30.0000
0K72A-34-830|20260709|200.0000
51712-FD200|20260709|98.0000
41430-22652|20260709|72.0000
23410-23982|20260709|37.0000
HDK-174|20260709|25.0000
KIK-017|20260709|30.0000
0K01134160A|20260709|120.0000
54501-FD000-K|20260709|20.0000
0K72A-34-510A|20260709|50.0000
24810-37120|20260709|36.0000
24810-23050-OEM|20260709|100.0000
51720-FD000|20260709|500.0000
KKY0133047|20260709|100.0000
0K72A-32240|20260709|100.0000
54830-1G000|20260709|49.0000
54811-3E110|20260709|48.0000
56820-4H000|20260709|40.0000
41610-2D100|20260709|35.0000
23121-23000|20260709|50.0000
21441-23500|20260709|40.0000
23123-23000|20260709|50.0000
21441-22610-OEM|20260709|40.0000
24211-26100|20260709|30.0000
22400-2X002|20260709|20.0000
20910-25A01-OEM|20260709|30.0000
24350-25000-SE|20260709|30.0000
21440-4X020|20260709|100.0000
58510-4H000|20260709|8.0000
23410-25001|20260709|8.0000
23410-25001-050|20260709|8.0000
37300-2C300|20260709|2.0000
