codmovcli|numdoc|tipo|emision|importe|formapag|banco|moneda|tasadolar|numpag
00000005|4627346|FC|20260113|-2962.5900|||US$|0.0000|
00000005|4627346|NC|20260113|297.2900|||US$|0.0000|
00000005|4627346|NC|20260113|74.3200|||US$|0.0000|
00000005|4627346|CA|20260113|2590.1800||||330.3800|
00000005|4657037|FC|20260120|-6397.4200|||US$|0.0000|
00000005|4657037|NC|20260120|630.2200|||US$|0.0000|
00000005|4657037|NC|20260120|157.5600|||US$|0.0000|
00000005|4656946|FC|20260120|-253429.5200|||US$|0.0000|
00000005|4656946|NC|20260120|25247.2100|||US$|0.0000|
00000005|4656946|NC|20260120|6311.8000|||US$|0.0000|
00000005|4656946|CA|20260120|221871.3300||||344.5100|
00000005|4657037|CA|20260120|5608.6200||||344.5100|
00000005|4694624|FC|20260126|-380716.6200|||US$|0.0000|
00000005|4694624|NC|20260126|38680.5700|||US$|0.0000|
00000005|4694624|NC|20260126|9670.1400|||US$|0.0000|
00000120|19199|FC|20260127|-58880.5900|||US$|0.0000|
00000120|19199|NC|20260127|6091.1000|||US$|0.0000|
00000120|19199|NC|20260127|1015.1800|||US$|0.0000|
00000005|4694624|CA|20260128|332364.5800||||355.5500|
00000005|4738349|FC|20260202|-436260.1000|||US$|0.0000|
00000005|4738349|NC|20260202|43942.2500|||US$|0.0000|
00000005|4738349|NC|20260202|10985.5600|||US$|0.0000|
00000005|4738349|CA|20260202|381331.5800||||370.2500|
00000005|4782606|FC|20260210|-377591.7000|||US$|0.0000|
00000005|4782606|NC|20260210|38371.8500|||US$|0.0000|
00000005|4782606|NC|20260210|9592.9600|||US$|0.0000|
00000005|4782749|FC|20260210|-10071.1800|||US$|0.0000|
00000005|4782749|NC|20260210|988.0700|||US$|0.0000|
00000005|4782749|NC|20260210|247.0200|||US$|0.0000|
00000005|4782606|CA|20260210|329626.8900||||385.2700|
00000005|4782749|CA|20260210|8836.0900||||385.2700|
00000100|62534|NC|20260218|-74107.2400||||396.3700|
00000100|62534|FC|20260218|-84279.3600|||US$|0.0000|
00000100|62534|NC|20260218|8718.5600|||US$|0.0000|
00000100|62534|NC|20260218|1453.0900|||US$|0.0000|
00000005|4833297|FC|20260219|-11214.3800|||US$|0.0000|
00000005|4833297|NC|20260219|1098.0600|||US$|0.0000|
00000005|4833297|NC|20260219|274.5200|||US$|0.0000|
00000005|4833172|FC|20260219|-224806.3000|||US$|0.0000|
00000005|4833172|NC|20260219|22704.8100|||US$|0.0000|
00000005|4833172|NC|20260219|5676.2000|||US$|0.0000|
00000005|4833172|CA|20260220|196424.2500||||398.7500|
00000005|4833297|AB|20260220|9841.1500||||398.7500|
00000005|4860511|FC|20260223|-361289.4200|||US$|0.0000|
00000005|4860511|NC|20260223|36692.5400|||US$|0.0000|
00000005|4860511|NC|20260223|9173.1400|||US$|0.0000|
00000005|4860511|CA|20260223|315423.1000||||405.3500|
00000005|4908385|FC|20260303|-387169.5200|||US$|0.0000|
00000005|4908385|NC|20260303|38627.4800|||US$|0.0000|
00000005|4908385|NC|20260303|9656.8700|||US$|0.0000|
00000005|4908385|CA|20260303|338883.5500||||421.8800|
00000005|4952917|FC|20260311|-220149.8100|||US$|0.0000|
00000005|4952917|NC|20260311|21706.1300|||US$|0.0000|
00000005|4952917|NC|20260311|5426.5300|||US$|0.0000|
00000005|4953055|FC|20260311|-6146.7100|||US$|0.0000|
00000005|4953055|NC|20260311|610.4000|||US$|0.0000|
00000005|4953055|NC|20260311|152.6000|||US$|0.0000|
00000005|4924126|FC|20260311|-19549.1100|||US$|0.0000|
00000005|4924126|NC|20260311|1935.3700|||US$|0.0000|
00000005|4924126|NC|20260311|483.8400|||US$|0.0000|
00000005|4924126|CA|20260311|17128.9600||||425.6700|
00000005|4952917|CA|20260311|193020.5500||||433.1700|
00000005|4953055|AB|20260311|5384.3000||||433.1700|
00000124|10029|FC|20260309|-703468.0800|||US$|0.0000|
00000124|10029|NC|20260309|72772.5600|||US$|0.0000|
00000124|10029|NC|20260309|12128.7600|||US$|0.0000|
00000005|5000559|FC|20260318|-117004.5400|||US$|0.0000|
00000005|5000559|NC|20260318|11617.7600|||US$|0.0000|
00000005|5000559|NC|20260318|2904.4400|||US$|0.0000|
00000005|5000559|CA|20260318|102483.7400||||451.5100|
00000005|5046894|FC|20260325|-73795.6500|||US$|0.0000|
00000005|5046894|NC|20260325|7141.5200|||US$|0.0000|
