item|emision|penddesp
21910-2D050|20230822|80.0000
87170-2E020|20240409|50.0000
46321-39010|20240409|25.0000
57581-2E001-|20240409|100.0000
87170-2E020|20240409|50.0000
46321-39010|20240409|25.0000
57581-2E001-|20240409|100.0000
21910-2D050|20240403|50.0000
0K77P-15200B|20240403|34.0000
21830-1G000-SEO|20240627|38.0000
0K1Y011-SEO-025|20250204|25.0000
0K1Y011-SEO-050|20250204|45.0000
0K1Y011-SEO-075|20250204|15.0000
0K1Y011-SGO-050|20250204|45.0000
25261-42920-SEO|20251117|100.0000
41610-1C000-SEO|20251117|50.0000
23120-02570-K|20251117|300.0000
21810-1C220-KP|20251117|50.0000
54610-25000-SEO|20251117|300.0000
54610-2D000|20251117|200.0000
54610-4H000-SEO|20251117|100.0000
54610-2E200-SEO|20251117|300.0000
54610-FD000-RE|20251117|200.0000
54615-FD000-RE|20251117|200.0000
54611-07000-SEO|20251117|100.0000
0K75A39040-KP|20251117|50.0000
21930-1G000|20251117|50.0000
21810-2E000|20251117|100.0000
21930-1C250-SE|20251117|200.0000
57100-2E100-SE|20251117|20.0000
57100-2E000-SE|20251117|20.0000
23510-38001-SEO|20251117|40.0000
21810-2D050-DHM|20251117|50.0000
24321-26060-OEM|20251117|500.0000
25620-23501-SEO|20251117|100.0000
25611-26100-SE|20251117|200.0000
25631-23501-SE|20251117|250.0000
0K30E-10100-SEO|20251117|20.0000
58330-FD200-SEO|20251117|150.0000
51712-2D300-SEO|20251117|50.0000
97730-22000|20251117|40.0000
92101-FD021-SE|20251117|13.0000
92102-FD021-SE|20251117|13.0000
23410-26511-050|20251117|50.0000
23410-26111-030|20251117|50.0000
0K3Y1-11-SA0-ST|20251117|40.0000
23410-23942-050|20251117|300.0000
23410-23942-075|20251117|50.0000
82610-1C000-KP|20251117|100.0000
82620-2D000AX|20251117|100.0000
0K72C-13100B-SE|20251117|30.0000
54530-3J000-KP|20251117|50.0000
51760-2E000-DHM|20251117|100.0000
25411-2D000-SE|20251117|200.0000
51750-FD000-KP|20251117|100.0000
46512-39800-SE|20251117|100.0000
23124-02201-SEO|20251117|50.0000
G10160-SEO|20251117|150.0000
86510-FD040-SEO|20251117|20.0000
25310-FD010-SE|20251117|50.0000
35301-23500-SEO|20251117|100.0000
42700-39055-SE|20251117|100.0000
24410-23770-DHM|20251117|200.0000
24411-3E000-SE|20251117|100.0000
25620-37350-SEO|20251117|50.0000
25620-3C100-SEO|20251117|50.0000
KITCADSON|20251117|50.0000
0K30C-59560-KP|20251117|40.0000
22100-23740-ASS|20251117|10.0000
22100-38410-ASS|20251117|10.0000
0K30E-10100-ASS|20251117|10.0000
0K75A-10-100-AS|20251117|20.0000
25469-26102-seo|20260105|143.0000
97310-07000-SEO|20260105|94.0000
24200-23770-SEO|20260105|48.0000
0S08941990-SEON|20260105|100.0000
41700-4A101-SE|20260105|100.0000
0K79A-32110A-SE|20260105|20.0000
22144-3B001|20260105|500.0000
94460-22020-SEO|20260105|100.0000
24431-23500-SEO|20260105|500.0000
0K75A-10311B-SE|20260105|50.0000
54500-FD000-SEO|20260105|50.0000
54501-FD000-SEO|20260105|50.0000
25310-2D010-SE|20260105|23.0000
0K30A-18891-DHM|20260105|100.0000
22311-2CAC0/AD0|20260105|100.0000
24410-26000-SE|20260105|150.0000
24431-26000|20260105|500.0000
