item|cantidad|despacho
24100-26601-SEO|100.0000|96.0000
92101-1F511|10.0000|0.0000
92102-1F011|10.0000|0.0000
54500-1C000-CH|30.0000|0.0000
54501-1C000-CH|30.0000|0.0000
55311-22000|200.0000|0.0000
23510-25240-SEO|50.0000|0.0000
21930-1C250-SE|200.0000|0.0000
21830-2D050-OEM|150.0000|0.0000
21830-2E100|256.0000|136.0000
21830-1C370-KP|50.0000|0.0000
21813-4A021-SE|50.0000|0.0000
21830-2E000|303.0000|183.0000
41426-39260-SE|200.0000|0.0000
21910-2D050-DHM|150.0000|0.0000
21910-2E002-DHM|100.0000|50.0000
21910-1G100-KP|50.0000|0.0000
0K30F39050A-KP|450.0000|250.0000
21810-FD060-KP|100.0000|0.0000
21810-1G000-KP|50.0000|0.0000
21930-2D100|100.0000|0.0000
21930-2E300-SEO|430.0000|80.0000
21810-2E000|100.0000|0.0000
25100-26902-SEO|50.0000|0.0000
25100-02566-SEO|70.0000|0.0000
25100-22032-SEO|30.0000|0.0000
0K72A43400-SEON|50.0000|0.0000
58510-2E000-SE|100.0000|0.0000
58510-2E100-SE|100.0000|0.0000
23510-26030-SEO|120.0000|0.0000
23510-3E101-SEO|50.0000|0.0000
23510-02501-SEO|200.0000|0.0000
0K30C-11210-SEO|100.0000|0.0000
23510-23700-SEO|50.0000|0.0000
58315-FDA01-SEO|100.0000|0.0000
49130-4A000-SEO|50.0000|0.0000
23110-2B610-SEO|10.0000|0.0000
51750-4A910-SEO|50.0000|0.0000
24321-26060-OEM|600.0000|0.0000
24321-23770-OEM|300.0000|0.0000
25620-26160-SE|150.0000|120.0000
25611-26100-SE|300.0000|297.0000
23111-02812-SEO|50.0000|0.0000
93490-2E000|50.0000|0.0000
93410-1C000-SEO|100.0000|0.0000
23124-02210-SEO|100.0000|0.0000
0K32A-13202-SEO|300.0000|0.0000
23124-2X010-SEO|70.0000|0.0000
0K75A10271-SEON|200.0000|0.0000
24350-2B000-SE|300.0000|100.0000
24350-23800-SEO|50.0000|0.0000
0K30E-10602.|1000.0000|0.0000
43119-28020-SE|500.0000|0.0000
MG03026154A-SE|700.0000|0.0000
97730-22000-SEO|50.0000|0.0000
25380-4H100-SEO|50.0000|0.0000
25380-22220-SEO|50.0000|0.0000
97730-2D000-SE|50.0000|0.0000
94460-4H500-SEO|100.0000|0.0000
0K72B-13850E-SE|50.0000|0.0000
31112-1C000|100.0000|0.0000
0K30A-13480-SEO|500.0000|0.0000
46321-39010-SEO|100.0000|0.0000
24431-23500-SEO|500.0000|0.0000
24431-26000|300.0000|0.0000
86811-1C000-SEO|100.0000|0.0000
86812-1C000-SEO|100.0000|0.0000
41431-39260-SEO|100.0000|0.0000
35310-23600-SEO|100.0000|0.0000
35310-3C000-SEO|100.0000|0.0000
35310-37150-SEO|100.0000|0.0000
58305-1CA00-SEO|100.0000|0.0000
58101-24A00-SEO|100.0000|0.0000
58101-2BA00-SEO|100.0000|0.0000
23410-22360-050|30.0000|0.0000
23410-22460-050|30.0000|0.0000
0K30E-18140-SE|300.0000|0.0000
0K65D-12111-121|40.0000|0.0000
0K75A-11-201C-S|50.0000|0.0000
22443-23001-SE|650.0000|0.0000
82662-4A300-SEO|100.0000|0.0000
83660-4A500-SEO|100.0000|0.0000
57581-2E001-SE|300.0000|0.0000
25412-2E200-SE|200.0000|0.0000
25412-2E100-SE|200.0000|0.0000
25411-2E200-SE|200.0000|0.0000
51750-FD000-KP|250.0000|0.0000
51715-FD000-KP|120.0000|0.0000
51716-FD000-KP|120.0000|0.0000
45956-28010-SEO|50.0000|0.0000
23410-2G200-SEO|50.0000|0.0000
0K72A-33075-SEO|50.0000|0.0000
0K72A-33047-SEO|50.0000|0.0000
51720-FD000-SEO|100.0000|0.0000
56540-22000-SEO|100.0000|0.0000
39350-22040-SEO|50.0000|0.0000
42620-39200-SEO|100.0000|0.0000
42700-39055-SEO|50.0000|0.0000
39310-38060-SE|50.0000|0.0000
0K30A-18891-DHM|100.0000|0.0000
43134-2Z000-SEO|500.0000|0.0000
35170-26900-SEO|100.0000|0.0000
25435-22050-SEO|50.0000|0.0000
0K247-18911-SEO|100.0000|0.0000
22410-22030-SE|150.0000|0.0000
22410-26610|200.0000|0.0000
25460-26000-SEO|500.0000|0.0000
25461-22024-SE|300.0000|0.0000
25460-37101-SE|120.0000|0.0000
25460-23000-SEO|600.0000|0.0000
25460-3E700|100.0000|0.0000
21830-2D000-SEO|100.0000|0.0000
21310-22010-SEO|50.0000|0.0000
23510-4Z100-SE|50.0000|0.0000
218321-4H400-SE|150.0000|0.0000
