CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000503|D0009969|AB|01|9/1/2024|9/1/2024|-400,05||CANC.MULT.REC.COB No.
00000503|D0009970|AB|01|9/1/2024|9/1/2024|-199,95||CANC.MULT.REC.COB No.
00000436|D0010353|FC|34|9/1/2024|8/2/2024|1080,05||FACTURA D0010353
00000095|D0010053|CA|34|9/1/2024|21/1/2024|-331,85||CANC.MULT.REC.COB No.
00000095|D0010054|CA|34|9/1/2024|21/1/2024|-503,92||CANC.MULT.REC.COB No.
00000696|D0010354|FC|19|9/1/2024|8/2/2024|422,83||FACTURA D0010354
00000328|D0010355|FC|01|9/1/2024|8/2/2024|789,42||FACTURA D0010355
00000414|D0010356|FC|02|9/1/2024|23/2/2024|511,89||FACTURA D0010356
00000563|D0009747|AB|01|9/1/2024|16/11/2023|-80,52||CANC.MULT.REC.COB No.
00000563|D0009838|AB|01|9/1/2024|24/11/2023|-295,65||CANC.MULT.REC.COB No.
00000563|D0010338|AB|01|9/1/2024|8/2/2024|-3,83||CANC.MULT.REC.COB No.
00000414|D0010358|FC|02|9/1/2024|23/2/2024|497,86||FACTURA D0010358
00000414|D0010359|FC|02|9/1/2024|23/2/2024|498,80||FACTURA D0010359
00000414|D0010360|FC|02|9/1/2024|23/2/2024|494,53||FACTURA D0010360
00000414|D0010362|FC|02|9/1/2024|23/2/2024|571,61||FACTURA D0010362
00000414|D0010363|FC|02|9/1/2024|23/2/2024|522,84||FACTURA D0010363
00000414|D0010337|FC|02|9/1/2024|23/2/2024|599,14||FACTURA D0010337
00000414|D0010361|FC|02|9/1/2024|23/2/2024|482,16||FACTURA D0010361
00000414|D0010357|FC|02|9/1/2024|23/2/2024|512,73||FACTURA D0010357
00000060|D0010367|FC|01|10/1/2024|9/2/2024|105,17||FACTURA D0010367
00000051|00003008|FC|19|10/1/2024|10/1/2024|5637,00||IVA CORRESPONDIENTE A LA FACTU
00000051|00003009|FC|19|10/1/2024|10/1/2024|1721,30||IVA CORRESPONDIENTE A LA FACTU
00000268|D0010368|FC|04|10/1/2024|9/2/2024|60,82||FACTURA D0010368
00000732|D0010369|FC|01|10/1/2024|9/2/2024|309,52||FACTURA D0010369
00000732|D0010370|FC|01|10/1/2024|9/2/2024|234,70||FACTURA D0010370
00000307|D0010371|FC|25|10/1/2024|9/2/2024|392,95||FACTURA D0010371
00000060|D0010380|FC|01|10/1/2024|9/2/2024|38,95||FACTURA D0010380
00000132|D0010381|FC|02|10/1/2024|9/2/2024|274,34||FACTURA D0010381
00000106|D0010383|FC|02|10/1/2024|9/2/2024|373,13||FACTURA D0010383
00000132|D0010384|FC|02|10/1/2024|9/2/2024|78,66||FACTURA D0010384
00000698|D0010385|FC|21|10/1/2024|9/2/2024|349,50||FACTURA D0010385
00000492|D0010285|NC|04|10/1/2024|10/1/2024|-179,48||DEVOLUCION No. NC000554
00000341|D0009556|AB|05|10/1/2024|22/10/2023|-196,69||CANC.MULT.REC.COB No.
00000341|D0009628|AB|05|10/1/2024|4/11/2023|-3,31||CANC.MULT.REC.COB No.
00000470|D0010386|FC|02|10/1/2024|9/2/2024|511,09||FACTURA D0010386
00000403|D0010382|FC|29|10/1/2024|24/2/2024|1768,13||FACTURA D0010382
00000666|D0010387|FC|02|10/1/2024|9/2/2024|547,45||FACTURA D0010387
00000741|D0010388|FC|34|10/1/2024|9/2/2024|448,88||FACTURA D0010388
00000741|D0010389|FC|34|10/1/2024|9/2/2024|296,82||FACTURA D0010389
